0	4.5	0.125	0.5	['G4']	[]	[0]	[7]
3	367/100	0.0625	0.3333333333333333	['B-3', 'E-4', 'G4', 'D5']	['P4', 'M6', 'M10', 'M3', 'M7', 'P5']	[0, 1, 5, 8]	[2, 3, 7, 10]
3	4.0	0.25	0.3333333333333333	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[8, 0, 3]
3	433/100	0.0625	0.3333333333333333	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[8, 0, 3]
3	467/100	0.0625	0.3333333333333333	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[8, 0, 3]
4	1.0	1.0	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
4	133/100	0.0625	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
4	167/100	0.0625	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
4	2.0	0.25	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
4	233/100	0.0625	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
4	267/100	0.0625	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
4	3.0	0.5	0.3333333333333333	['F3', 'A-3', 'D4', 'B-4']	['m3', 'M6', 'P11', 'A4', 'M9', 'm6']	[0, 2, 5, 8]	[2, 5, 8, 10]
4	333/100	0.0625	0.3333333333333333	['F3', 'A-3', 'D4', 'B-4']	['m3', 'M6', 'P11', 'A4', 'M9', 'm6']	[0, 2, 5, 8]	[2, 5, 8, 10]
4	367/100	0.0625	0.3333333333333333	['F3', 'A-3', 'D4', 'B-4']	['m3', 'M6', 'P11', 'A4', 'M9', 'm6']	[0, 2, 5, 8]	[2, 5, 8, 10]
4	4.0	0.25	0.3333333333333333	['E-3', 'G3', 'C4', 'B-4']	['M3', 'M6', 'P12', 'P4', 'm10', 'm7']	[0, 3, 5, 8]	[7, 10, 0, 3]
4	433/100	0.0625	0.3333333333333333	['E-3', 'G3', 'C4', 'B-4']	['M3', 'M6', 'P12', 'P4', 'm10', 'm7']	[0, 3, 5, 8]	[7, 10, 0, 3]
4	467/100	0.0625	0.3333333333333333	['E-3', 'G3', 'C4', 'B-4']	['M3', 'M6', 'P12', 'P4', 'm10', 'm7']	[0, 3, 5, 8]	[7, 10, 0, 3]
5	1.0	1.0	0.3333333333333333	['B-1', 'F4']	['P19']	[0, 5]	[5, 10]
5	133/100	0.0625	0.3333333333333333	['D3', 'B-3', 'F4']	['m6', 'm10', 'P5']	[0, 3, 7]	[10, 2, 5]
5	167/100	0.0625	0.3333333333333333	['D3', 'B-3', 'F4']	['m6', 'm10', 'P5']	[0, 3, 7]	[10, 2, 5]
5	2.0	0.25	0.3333333333333333	['D3', 'B-3', 'F4']	['m6', 'm10', 'P5']	[0, 3, 7]	[10, 2, 5]
5	233/100	0.0625	0.16666666666666666	['D3', 'B-3', 'F4']	['m6', 'm10', 'P5']	[0, 3, 7]	[10, 2, 5]
5	2.5	0.125	0.16666666666666666	['D3', 'B-3', 'F4']	['m6', 'm10', 'P5']	[0, 3, 7]	[10, 2, 5]
5	267/100	0.0625	0.3333333333333333	['D3', 'B-3', 'F4']	['m6', 'm10', 'P5']	[0, 3, 7]	[10, 2, 5]
5	3.0	0.5	0.3333333333333333	['E-3', 'B-3', 'G4']	['P5', 'M10', 'M6']	[0, 3, 7]	[3, 7, 10]
5	333/100	0.0625	0.3333333333333333	['E-3', 'B-3', 'G4']	['P5', 'M10', 'M6']	[0, 3, 7]	[3, 7, 10]
5	367/100	0.0625	0.3333333333333333	['E-3', 'B-3', 'G4']	['P5', 'M10', 'M6']	[0, 3, 7]	[3, 7, 10]
5	4.0	0.25	0.3333333333333333	['E3', 'D-4', 'G4', 'B-4']	['d7', 'm10', 'd12', 'A4', 'M6', 'm3']	[0, 3, 6, 9]	[1, 4, 7, 10]
5	433/100	0.0625	0.3333333333333333	['E3', 'D-4', 'G4', 'B-4']	['d7', 'm10', 'd12', 'A4', 'M6', 'm3']	[0, 3, 6, 9]	[1, 4, 7, 10]
5	467/100	0.0625	0.3333333333333333	['E3', 'D-4', 'G4', 'B-4']	['d7', 'm10', 'd12', 'A4', 'M6', 'm3']	[0, 3, 6, 9]	[1, 4, 7, 10]
6	1.0	1.0	0.3333333333333333	['B-2', 'A-4']	['m14']	[0, 2]	[8, 10]
6	133/100	0.0625	0.3333333333333333	['B-2', 'F3', 'C4', 'A-4']	['P5', 'M9', 'm14', 'm10', 'm6']	[0, 2, 4, 7]	[5, 8, 10, 0]
6	167/100	0.0625	0.3333333333333333	['B-2', 'F3', 'C4', 'A-4']	['P5', 'M9', 'm14', 'm10', 'm6']	[0, 2, 4, 7]	[5, 8, 10, 0]
6	2.0	0.25	0.3333333333333333	['B-2', 'G3', 'C4', 'E4']	['M6', 'M9', 'A11', 'P4', 'M3']	[0, 2, 5, 8]	[4, 7, 10, 0]
6	233/100	0.0625	0.3333333333333333	['B-2', 'G3', 'C4', 'E4']	['M6', 'M9', 'A11', 'P4', 'M3']	[0, 2, 5, 8]	[4, 7, 10, 0]
6	267/100	0.0625	0.3333333333333333	['B-2', 'G3', 'C4', 'E4']	['M6', 'M9', 'A11', 'P4', 'M3']	[0, 2, 5, 8]	[4, 7, 10, 0]
6	3.0	0.5	0.3333333333333333	['B-2', 'A-3', 'C4', 'F4']	['m7', 'M9', 'P12', 'M3', 'M6', 'P4']	[0, 2, 4, 7]	[5, 8, 10, 0]
6	333/100	0.0625	0.3333333333333333	['B-2', 'A-3', 'C4', 'F4']	['m7', 'M9', 'P12', 'M3', 'M6', 'P4']	[0, 2, 4, 7]	[5, 8, 10, 0]
6	367/100	0.0625	0.3333333333333333	['B-2', 'A-3', 'C4', 'F4']	['m7', 'M9', 'P12', 'M3', 'M6', 'P4']	[0, 2, 4, 7]	[5, 8, 10, 0]
6	4.0	0.25	0.3333333333333333	['B-2', 'F#3', 'A3', 'E-4', 'C5']	['A5', 'M7', 'P11', 'M16', 'm3', 'd7', 'd12', 'd5', 'm10', 'M6']	[0, 1, 3, 6, 9]	[9, 10, 0, 3, 6]
6	433/100	0.0625	0.3333333333333333	['B-2', 'F#3', 'A3', 'E-4', 'C5']	['A5', 'M7', 'P11', 'M16', 'm3', 'd7', 'd12', 'd5', 'm10', 'M6']	[0, 1, 3, 6, 9]	[9, 10, 0, 3, 6]
6	467/100	0.0625	0.3333333333333333	['B-2', 'F#3', 'A3', 'E-4', 'C5']	['A5', 'M7', 'P11', 'M16', 'm3', 'd7', 'd12', 'd5', 'm10', 'M6']	[0, 1, 3, 6, 9]	[9, 10, 0, 3, 6]
7	1.0	1.0	0.3333333333333333	['B-2', 'B-4']	['P15']	[0]	[10]
7	133/100	0.0625	0.3333333333333333	['B-2', 'G3', 'B-3', 'E-4', 'B-4']	['M6', 'P8', 'P11', 'P15', 'm3', 'm6', 'm10', 'P4', 'P5']	[0, 3, 7]	[3, 7, 10]
7	167/100	0.0625	0.3333333333333333	['B-2', 'G3', 'B-3', 'E-4', 'B-4']	['M6', 'P8', 'P11', 'P15', 'm3', 'm6', 'm10', 'P4', 'P5']	[0, 3, 7]	[3, 7, 10]
7	2.0	0.25	0.3333333333333333	['B-2', 'G3', 'B-3', 'E-4', 'B-4']	['M6', 'P8', 'P11', 'P15', 'm3', 'm6', 'm10', 'P4', 'P5']	[0, 3, 7]	[3, 7, 10]
7	233/100	0.0625	0.16666666666666666	['B-2', 'G3', 'B-3', 'E-4', 'B-4']	['M6', 'P8', 'P11', 'P15', 'm3', 'm6', 'm10', 'P4', 'P5']	[0, 3, 7]	[3, 7, 10]
7	2.5	0.125	0.16666666666666666	['B-2', 'G3', 'B-3', 'E-4', 'B-4']	['M6', 'P8', 'P11', 'P15', 'm3', 'm6', 'm10', 'P4', 'P5']	[0, 3, 7]	[3, 7, 10]
7	267/100	0.0625	0.3333333333333333	['B-2', 'G3', 'B-3', 'E-4', 'B-4']	['M6', 'P8', 'P11', 'P15', 'm3', 'm6', 'm10', 'P4', 'P5']	[0, 3, 7]	[3, 7, 10]
7	3.0	0.5	0.3333333333333333	['B-2', 'A-3', 'C4', 'E-4', 'C5']	['m7', 'M9', 'P11', 'M16', 'M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 2, 4, 7]	[8, 10, 0, 3]
7	333/100	0.0625	0.3333333333333333	['B-2', 'A-3', 'C4', 'E-4', 'C5']	['m7', 'M9', 'P11', 'M16', 'M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 2, 4, 7]	[8, 10, 0, 3]
7	367/100	0.0625	0.3333333333333333	['B-2', 'A-3', 'C4', 'E-4', 'C5']	['m7', 'M9', 'P11', 'M16', 'M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 2, 4, 7]	[8, 10, 0, 3]
7	4.0	0.25	0.3333333333333333	['B-2', 'A3', 'C4', 'G-4', 'E-5']	['M7', 'M9', 'm13', 'P18', 'm3', 'd7', 'd12', 'd5', 'm10', 'M6']	[0, 1, 3, 6, 9]	[9, 10, 0, 3, 6]
7	433/100	0.0625	0.3333333333333333	['B-2', 'A3', 'C4', 'G-4', 'E-5']	['M7', 'M9', 'm13', 'P18', 'm3', 'd7', 'd12', 'd5', 'm10', 'M6']	[0, 1, 3, 6, 9]	[9, 10, 0, 3, 6]
7	467/100	0.0625	0.3333333333333333	['B-2', 'A3', 'C4', 'G-4', 'E-5']	['M7', 'M9', 'm13', 'P18', 'm3', 'd7', 'd12', 'd5', 'm10', 'M6']	[0, 1, 3, 6, 9]	[9, 10, 0, 3, 6]
8	1.0	1.0	0.3333333333333333	['B-2', 'D5']	['M17']	[0, 4]	[10, 2]
8	133/100	0.0625	0.3333333333333333	['B-3', 'F4', 'D5']	['P5', 'M10', 'M6']	[0, 3, 7]	[10, 2, 5]
8	167/100	0.0625	0.3333333333333333	['B-3', 'F4', 'D5']	['P5', 'M10', 'M6']	[0, 3, 7]	[10, 2, 5]
8	2.0	0.25	0.3333333333333333	['B-3', 'F4', 'D5']	['P5', 'M10', 'M6']	[0, 3, 7]	[10, 2, 5]
8	233/100	0.0625	0.3333333333333333	['A-3', 'B-3', 'D4', 'F4', 'C5', 'D5']	['M2', 'A4', 'M6', 'M10', 'A11', 'M3', 'P5', 'M9', 'm3', 'm7', 'P8']	[0, 2, 4, 6, 9]	[8, 10, 0, 2, 5]
8	267/100	0.0625	0.3333333333333333	['A-3', 'B-3', 'D4', 'F4', 'C5', 'D5']	['M2', 'A4', 'M6', 'M10', 'A11', 'M3', 'P5', 'M9', 'm3', 'm7', 'P8']	[0, 2, 4, 6, 9]	[8, 10, 0, 2, 5]
8	3.0	0.5	0.3333333333333333	['A-3', 'B-3', 'D4', 'C5']	['M2', 'A4', 'M10', 'M3', 'M9', 'm7']	[0, 2, 4, 6]	[8, 10, 0, 2]
8	333/100	0.0625	0.3333333333333333	['G3', 'B-3', 'D4', 'B-4']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[7, 10, 2]
8	367/100	0.0625	0.3333333333333333	['G3', 'B-3', 'D4', 'B-4']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[7, 10, 2]
8	4.0	0.25	0.3333333333333333	['G3', 'B-3', 'D4', 'B-4']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[7, 10, 2]
8	433/100	0.0625	0.3333333333333333	['F3', 'B-3', 'D4', 'A-4']	['P4', 'M6', 'm10', 'M3', 'm7', 'd5']	[0, 2, 5, 8]	[2, 5, 8, 10]
8	467/100	0.0625	0.3333333333333333	['F3', 'B-3', 'D4', 'A-4']	['P4', 'M6', 'm10', 'M3', 'm7', 'd5']	[0, 2, 5, 8]	[2, 5, 8, 10]
9	1.0	1.0	0.3333333333333333	['E-2']	[]	[0]	[3]
9	133/100	0.0625	0.16666666666666666	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
9	1.5	0.125	0.16666666666666666	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
9	167/100	0.0625	0.3333333333333333	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
9	2.0	0.25	0.3333333333333333	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
9	233/100	0.0625	0.16666666666666666	['E-3', 'B-3', 'E-4', 'G4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[3, 7, 10]
9	2.5	0.125	0.16666666666666666	['E-3', 'B-3', 'E-4', 'G4', 'A-4']	['P5', 'P8', 'M10', 'P11', 'P4', 'M6', 'm7', 'M3', 'm2']	[0, 2, 3, 7]	[3, 7, 8, 10]
9	267/100	0.0625	0.3333333333333333	['E-3', 'F3', 'B-3', 'E-4', 'A-4']	['M2', 'P5', 'P8', 'P11', 'P4', 'm7', 'm10']	[0, 2, 5, 7]	[3, 5, 8, 10]
9	3.0	0.5	0.3333333333333333	['E-3', 'G3', 'B-3', 'E-4', 'B-4']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[3, 7, 10]
9	333/100	0.0625	0.3333333333333333	['E-3', 'G3', 'B-3', 'E-4', 'B-4']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[3, 7, 10]
9	367/100	0.0625	0.3333333333333333	['E-3', 'G3', 'B-3', 'E-4', 'B-4']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[3, 7, 10]
9	4.0	0.25	0.3333333333333333	['E-3', 'A-3', 'E-4', 'C5']	['P4', 'P8', 'M13', 'P5', 'M10', 'M6']	[0, 3, 7]	[8, 0, 3]
9	433/100	0.0625	0.16666666666666666	['E-3', 'A-3', 'E-4', 'C5']	['P4', 'P8', 'M13', 'P5', 'M10', 'M6']	[0, 3, 7]	[8, 0, 3]
9	4.5	0.125	0.16666666666666666	['E-3', 'B-3', 'E-4', 'D5']	['P5', 'P8', 'M14', 'P4', 'M10', 'M7']	[0, 1, 5]	[10, 2, 3]
9	467/100	0.0625	0.3333333333333333	['E-3', 'B-3', 'E-4', 'D5']	['P5', 'P8', 'M14', 'P4', 'M10', 'M7']	[0, 1, 5]	[10, 2, 3]
10	1.0	1.0	0.3333333333333333	['E-3', 'C4', 'E-4', 'E-5']	['M6', 'P8', 'P15', 'm3', 'm10']	[0, 3]	[0, 3]
10	133/100	0.0625	0.3333333333333333	['E-3', 'C4', 'E-4', 'E-5']	['M6', 'P8', 'P15', 'm3', 'm10']	[0, 3]	[0, 3]
10	167/100	0.0625	0.3333333333333333	['E-3', 'C4', 'E-4', 'E-5']	['M6', 'P8', 'P15', 'm3', 'm10']	[0, 3]	[0, 3]
10	2.0	0.25	0.3333333333333333	['E-3', 'D4', 'A-4', 'C5']	['M7', 'P11', 'M13', 'd5', 'm7', 'M3']	[0, 1, 3, 7]	[8, 0, 2, 3]
10	233/100	0.0625	0.3333333333333333	['E-3', 'D4', 'A-4', 'C5']	['M7', 'P11', 'M13', 'd5', 'm7', 'M3']	[0, 1, 3, 7]	[8, 0, 2, 3]
10	267/100	0.0625	0.3333333333333333	['E-3', 'D4', 'A-4', 'C5']	['M7', 'P11', 'M13', 'd5', 'm7', 'M3']	[0, 1, 3, 7]	[8, 0, 2, 3]
10	3.0	0.5	0.3333333333333333	['E-3', 'E-4', 'G4', 'B-4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[3, 7, 10]
10	333/100	0.0625	0.3333333333333333	['E-3', 'E-4', 'G4', 'B-4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[3, 7, 10]
10	367/100	0.0625	0.3333333333333333	['E-3', 'E-4', 'G4', 'B-4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[3, 7, 10]
10	4.0	0.25	0.3333333333333333	['D4', 'E-4', 'G4', 'B-4']	['m2', 'P4', 'm6', 'M3', 'P5', 'm3']	[0, 1, 5, 8]	[2, 3, 7, 10]
10	433/100	0.0625	0.16666666666666666	['D4', 'E-4', 'G4', 'B-4']	['m2', 'P4', 'm6', 'M3', 'P5', 'm3']	[0, 1, 5, 8]	[2, 3, 7, 10]
10	4.5	0.125	0.16666666666666666	['D4', 'E-4', 'G4', 'B-4']	['m2', 'P4', 'm6', 'M3', 'P5', 'm3']	[0, 1, 5, 8]	[2, 3, 7, 10]
10	467/100	0.0625	0.3333333333333333	['D4', 'E-4', 'G4', 'B-4']	['m2', 'P4', 'm6', 'M3', 'P5', 'm3']	[0, 1, 5, 8]	[2, 3, 7, 10]
11	1.0	1.0	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
11	133/100	0.0625	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
11	167/100	0.0625	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
11	2.0	0.25	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
11	233/100	0.0625	0.16666666666666666	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
11	2.5	0.125	0.16666666666666666	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
11	267/100	0.0625	0.3333333333333333	['C4', 'E-4', 'G4', 'E-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[0, 3, 7]
11	3.0	0.5	0.3333333333333333	['B-3', 'D4', 'G4', 'D5']	['M3', 'M6', 'M10', 'P4', 'P8', 'P5']	[0, 3, 7]	[7, 10, 2]
11	333/100	0.0625	0.3333333333333333	['B-3', 'D4', 'G4', 'D5']	['M3', 'M6', 'M10', 'P4', 'P8', 'P5']	[0, 3, 7]	[7, 10, 2]
11	367/100	0.0625	0.3333333333333333	['B-3', 'D4', 'G4', 'D5']	['M3', 'M6', 'M10', 'P4', 'P8', 'P5']	[0, 3, 7]	[7, 10, 2]
11	4.0	0.25	0.3333333333333333	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[8, 0, 3]
11	433/100	0.0625	0.3333333333333333	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[8, 0, 3]
11	467/100	0.0625	0.3333333333333333	['A-3', 'C4', 'E-4', 'C5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[8, 0, 3]
12	1.0	1.0	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
12	133/100	0.0625	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
12	167/100	0.0625	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
12	2.0	0.25	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
12	233/100	0.0625	0.3333333333333333	['G3', 'B-3', 'E-4', 'B-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[3, 7, 10]
