0	267/100	0.25	0.5	['F4']	[]	[0]	[5]
5	1.0	1.0	0.5	['B-2', 'B-3', 'D4', 'F4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[10, 2, 5]
5	133/100	0.25	0.5	['B-2', 'B-3', 'F4']	['P8', 'P12', 'P5']	[0, 5]	[5, 10]
5	167/100	0.25	0.5	['B-2', 'B-3', 'B-4']	['P8', 'P15']	[0]	[10]
5	2.0	0.5	0.5	['B-2', 'B-3', 'D4', 'B-4']	['P8', 'M10', 'P15', 'M3', 'm6']	[0, 4]	[10, 2]
5	233/100	0.25	0.5	['B-2', 'B-3', 'F4', 'A4']	['P8', 'P12', 'M14', 'P5', 'M7', 'M3']	[0, 1, 5]	[5, 9, 10]
5	267/100	0.25	0.5	['B-2', 'B-3', 'B-4']	['P8', 'P15']	[0]	[10]
6	1.0	1.0	0.5	['F3', 'E-4', 'B4']	['m7', 'A11', 'A5']	[0, 2, 6]	[11, 3, 5]
6	133/100	0.25	0.5	['F3', 'F4', 'B4']	['P8', 'A11', 'A4']	[0, 6]	[5, 11]
6	167/100	0.25	0.5	['F3', 'A4', 'B4']	['M10', 'A11', 'M2']	[0, 2, 6]	[5, 9, 11]
6	2.0	0.5	0.5	['F3', 'E-4', 'C5']	['m7', 'P12', 'M6']	[0, 2, 5]	[0, 3, 5]
6	233/100	0.25	0.5	['F3', 'F4', 'C5']	['P8', 'P12', 'P5']	[0, 5]	[0, 5]
6	267/100	0.25	0.5	['F3', 'F4', 'A4']	['P8', 'M10', 'M3']	[0, 4]	[5, 9]
7	1.0	1.0	0.5	['B-2', 'B-3', 'D4', 'F4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[10, 2, 5]
7	133/100	0.25	0.5	['B-2', 'B-3', 'F4']	['P8', 'P12', 'P5']	[0, 5]	[5, 10]
7	167/100	0.25	0.5	['B-2', 'B-3', 'B-4', 'D5']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[10, 2]
7	2.0	0.5	0.5	['F2', 'F3', 'E-4', 'C5']	['P8', 'm14', 'P19', 'm7', 'P12', 'M6']	[0, 2, 5]	[0, 3, 5]
7	233/100	0.25	0.25	['F2', 'F3', 'F4', 'C5']	['P8', 'P15', 'P19', 'P12', 'P5']	[0, 5]	[0, 5]
7	2.5	0.125	0.25	['F2', 'F3', 'F4', 'E-5']	['P8', 'P15', 'm21', 'm14', 'm7']	[0, 2]	[3, 5]
7	267/100	0.25	0.25	['F2', 'F3', 'A4', 'D5']	['P8', 'M17', 'M20', 'M10', 'M13', 'P4']	[0, 3, 7]	[2, 5, 9]
7	283/100	0.125	0.25	['F2', 'F3', 'A4', 'C5']	['P8', 'M17', 'P19', 'M10', 'P12', 'm3']	[0, 3, 7]	[5, 9, 0]
8	1.0	1.0	0.5	['B-2', 'B-3', 'D4', 'B-4']	['P8', 'M10', 'P15', 'M3', 'm6']	[0, 4]	[10, 2]
8	133/100	0.25	0.5	['B-2', 'B-3', 'F4', 'B-4']	['P8', 'P12', 'P15', 'P5', 'P4']	[0, 5]	[5, 10]
8	167/100	0.25	0.5	['B-2', 'B-3', 'B-4']	['P8', 'P15']	[0]	[10]
8	2.0	0.5	0.5	['B-2', 'B-3', 'D4']	['P8', 'M10', 'M3']	[0, 4]	[10, 2]
8	233/100	0.25	0.5	['B-2', 'B-3', 'F4']	['P8', 'P12', 'P5']	[0, 5]	[5, 10]
8	267/100	0.25	0.5	['B-2', 'B-3', 'F4', 'B-4']	['P8', 'P12', 'P15', 'P5', 'P4']	[0, 5]	[5, 10]
9	1.0	1.0	1.0	['B-1', 'B-2']	['P8']	[0]	[10]
