8	2.75	0.125	0.25	['D#4', 'F#4', 'B#4', 'F#5']	['m3', 'M6', 'm10', 'A4', 'P8', 'd5']	[0, 3, 6]	[0, 3, 6]
9	1.0	1.0	0.16666666666666666	['C#3', 'E#4']	['M10']	[0, 4]	[1, 5]
9	117/100	0.0625	0.16666666666666666	['C#4', 'E#4', 'G#4', 'E#5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[1, 5, 8]
9	133/100	0.0625	0.16666666666666666	['C#4', 'E#4', 'G#4', 'E#5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[1, 5, 8]
9	1.5	0.25	0.16666666666666666	['C#4', 'E#4', 'G#4', 'E#5']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[1, 5, 8]
9	167/100	0.0625	0.16666666666666666	['B3', 'E#4', 'G#4', 'D#5']	['A4', 'M6', 'M10', 'm3', 'm7', 'P5']	[0, 2, 5, 8]	[3, 5, 8, 11]
9	183/100	0.0625	0.16666666666666666	['B3', 'E#4', 'G#4', 'D#5']	['A4', 'M6', 'M10', 'm3', 'm7', 'P5']	[0, 2, 5, 8]	[3, 5, 8, 11]
9	2.0	0.5	0.16666666666666666	['B3', 'E#4', 'G#4', 'D#5']	['A4', 'M6', 'M10', 'm3', 'm7', 'P5']	[0, 2, 5, 8]	[3, 5, 8, 11]
9	217/100	0.0625	0.16666666666666666	['A#3', 'E#4', 'G#4', 'C#5']	['P5', 'm7', 'm10', 'm3', 'm6', 'P4']	[0, 3, 5, 8]	[5, 8, 10, 1]
9	233/100	0.0625	0.16666666666666666	['A#3', 'E#4', 'G#4', 'C#5']	['P5', 'm7', 'm10', 'm3', 'm6', 'P4']	[0, 3, 5, 8]	[5, 8, 10, 1]
