0	2.75	0.125	0.25	['B4']	[]	[0]	[11]
13	2.5	0.25	0.125	['A3', 'D5', 'E5']	['P11', 'P12', 'M2']	[0, 2, 7]	[2, 4, 9]
13	2.62	0.0625	0.125	['A3', 'C#4', 'D5', 'E5']	['M3', 'P11', 'P12', 'm9', 'm10', 'M2']	[0, 2, 3, 7]	[9, 1, 2, 4]
13	2.75	0.125	0.125	['A3', 'G4', 'E5']	['m7', 'P12', 'M6']	[0, 2, 5]	[4, 7, 9]
13	2.88	0.0625	0.125	['A3', 'A4', 'E5']	['P8', 'P12', 'P5']	[0, 5]	[4, 9]
14	1.0	1.0	0.125	['D3', 'F#5']	['M17']	[0, 4]	[2, 6]
14	1.12	0.0625	0.125	['D3', 'C#4', 'F#5']	['M7', 'M17', 'P11']	[0, 1, 5]	[1, 2, 6]
14	1.25	0.125	0.125	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
14	1.38	0.0625	0.125	['D3', 'A4', 'F#5']	['P12', 'M17', 'M6']	[0, 3, 7]	[2, 6, 9]
14	1.5	0.25	0.125	['D3', 'F#5']	['M17']	[0, 4]	[2, 6]
14	1.62	0.0625	0.125	['D3', 'C#4', 'F#5']	['M7', 'M17', 'P11']	[0, 1, 5]	[1, 2, 6]
14	1.75	0.125	0.125	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
14	1.88	0.0625	0.125	['D3', 'A4', 'F#5']	['P12', 'M17', 'M6']	[0, 3, 7]	[2, 6, 9]
14	2.0	0.5	0.125	['G3', 'D5']	['P12']	[0, 5]	[2, 7]
14	2.12	0.0625	0.125	['G3', 'B3', 'D5']	['M3', 'P12', 'm10']	[0, 3, 7]	[7, 11, 2]
14	2.25	0.125	0.125	['G3', 'D4', 'D5']	['P5', 'P12', 'P8']	[0, 5]	[2, 7]
14	2.38	0.0625	0.125	['G3', 'F#4', 'D5']	['M7', 'P12', 'm6']	[0, 1, 5]	[2, 6, 7]
14	2.5	0.25	0.125	['G3', 'D5']	['P12']	[0, 5]	[2, 7]
14	2.62	0.0625	0.125	['G3', 'B3', 'D5']	['M3', 'P12', 'm10']	[0, 3, 7]	[7, 11, 2]
14	2.75	0.125	0.125	['G3', 'D4', 'D5']	['P5', 'P12', 'P8']	[0, 5]	[2, 7]
14	2.88	0.0625	0.125	['G3', 'F#4', 'D5']	['M7', 'P12', 'm6']	[0, 1, 5]	[2, 6, 7]
15	1.0	1.0	0.125	['C#3', 'E5']	['m17']	[0, 3]	[1, 4]
15	1.12	0.0625	0.125	['C#3', 'B3', 'E5']	['m7', 'm17', 'P11']	[0, 2, 5]	[11, 1, 4]
15	1.25	0.125	0.08333333333333333	['C#3', 'E4', 'E5']	['m10', 'm17', 'P8']	[0, 3]	[1, 4]
15	133/100	0.0625	0.041666666666666664	['C#3', 'E4', 'E5']	['m10', 'm17', 'P8']	[0, 3]	[1, 4]
15	1.38	0.0625	0.125	['C#3', 'A#3', 'G4', 'E5']	['M6', 'd12', 'm17', 'd7']	[0, 3, 6, 9]	[1, 4, 7, 10]
15	1.5	0.25	0.125	['D3', 'G4', 'D5', 'E5']	['P11', 'P15', 'M16', 'P5', 'M6', 'M2']	[0, 2, 5]	[2, 4, 7]
15	1.62	0.0625	0.041666666666666664	['D3', 'B3', 'G4', 'D5', 'E5']	['M6', 'P11', 'P15', 'M16', 'm6', 'm10', 'P5', 'M2']	[0, 3, 5, 8]	[11, 2, 4, 7]
15	167/100	0.0625	0.08333333333333333	['D3', 'B3', 'G4', 'D5']	['M6', 'P11', 'P15', 'm6', 'm10', 'P5']	[0, 3, 7]	[7, 11, 2]
15	1.75	0.125	0.125	['D3', 'D4', 'D5']	['P8', 'P15']	[0]	[2]
15	1.88	0.0625	0.125	['D3', 'F#4', 'D5']	['M10', 'P15', 'm6']	[0, 4]	[2, 6]
15	2.0	0.5	0.125	['E3', 'C#5']	['M13']	[0, 3]	[1, 4]
15	2.12	0.0625	0.125	['E3', 'G3', 'C#5']	['m3', 'M13', 'A11']	[0, 3, 6]	[1, 4, 7]
15	2.25	0.125	0.125	['E3', 'C#4', 'C#5']	['M6', 'M13', 'P8']	[0, 3]	[1, 4]
15	2.38	0.0625	0.125	['E3', 'E4', 'C#5']	['P8', 'M13', 'M6']	[0, 3]	[1, 4]
15	2.5	0.25	0.125	['F#3', 'A#4', 'C#5']	['M10', 'P12', 'm3']	[0, 3, 7]	[6, 10, 1]
15	2.62	0.0625	0.125	['F#3', 'A#3', 'A#4', 'C#5']	['M3', 'M10', 'P12', 'P8', 'm10', 'm3']	[0, 3, 7]	[6, 10, 1]
15	2.75	0.125	0.125	['F#3', 'C#4', 'A#4']	['P5', 'M10', 'M6']	[0, 3, 7]	[6, 10, 1]
15	2.88	0.0625	0.125	['F#3', 'E4', 'A#4']	['m7', 'M10', 'A4']	[0, 2, 6]	[4, 6, 10]
16	1.0	1.0	0.125	['B2', 'B4']	['P15']	[0]	[11]
16	1.12	0.0625	0.125	['B2', 'F#3', 'B4']	['P5', 'P15', 'P11']	[0, 5]	[6, 11]
16	1.25	0.125	0.125	['B2', 'B3', 'B4']	['P8', 'P15']	[0]	[11]
16	1.38	0.0625	0.125	['B2', 'D4', 'B4']	['m10', 'P15', 'M6']	[0, 3]	[11, 2]
16	1.5	0.25	0.125	['D3', 'B4']	['M13']	[0, 3]	[11, 2]
16	1.62	0.0625	0.125	['D3', 'F#3', 'B4']	['M3', 'M13', 'P11']	[0, 3, 7]	[11, 2, 6]
16	1.75	0.125	0.125	['D3', 'B3', 'B4']	['M6', 'M13', 'P8']	[0, 3]	[11, 2]
16	1.88	0.0625	0.125	['D3', 'D4', 'B4']	['P8', 'M13', 'M6']	[0, 3]	[11, 2]
16	2.0	0.5	0.125	['C#3', 'B4']	['m14']	[0, 2]	[11, 1]
16	2.12	0.0625	0.125	['C#3', 'F#3', 'B4']	['P4', 'm14', 'P11']	[0, 2, 7]	[11, 1, 6]
16	2.25	0.125	0.125	['C#3', 'B3', 'B4']	['m7', 'm14', 'P8']	[0, 2]	[11, 1]
16	2.38	0.0625	0.125	['C#3', 'D4', 'B4']	['m9', 'm14', 'M6']	[0, 1, 3]	[11, 1, 2]
16	2.5	0.25	0.125	['B2', 'F#4']	['P12']	[0, 5]	[6, 11]
16	2.62	0.0625	0.125	['B2', 'F#3', 'F#4']	['P5', 'P12', 'P8']	[0, 5]	[6, 11]
16	2.75	0.125	0.125	['B2', 'B3', 'F#4']	['P8', 'P12', 'P5']	[0, 5]	[6, 11]
16	2.88	0.0625	0.125	['B2', 'D4', 'F#4']	['m10', 'P12', 'M3']	[0, 3, 7]	[11, 2, 6]
17	1.0	1.0	0.125	['A#2', 'F#4']	['m13']	[0, 4]	[6, 10]
17	1.12	0.0625	0.125	['A#2', 'F#3', 'F#4']	['m6', 'm13', 'P8']	[0, 4]	[6, 10]
17	1.25	0.125	0.125	['A#2', 'C#4', 'F#4']	['m10', 'm13', 'P4']	[0, 3, 7]	[6, 10, 1]
17	1.38	0.0625	0.125	['A#2', 'E4', 'F#4']	['d12', 'm13', 'M2']	[0, 2, 6]	[4, 6, 10]
17	1.5	0.25	0.125	['A2', 'C5']	['m17']	[0, 3]	[9, 0]
17	1.62	0.0625	0.125	['A2', 'F#3', 'C5']	['M6', 'm17', 'd12']	[0, 3, 6]	[6, 9, 0]
17	1.75	0.125	0.125	['A2', 'C4', 'C5']	['m10', 'm17', 'P8']	[0, 3]	[9, 0]
17	1.88	0.0625	0.125	['A2', 'D#4', 'C5']	['A11', 'm17', 'd7']	[0, 3, 6]	[9, 0, 3]
17	2.0	0.5	0.125	['G2', 'B4']	['M17']	[0, 4]	[7, 11]
17	2.12	0.0625	0.125	['G2', 'E3', 'B4']	['M6', 'M17', 'P12']	[0, 3, 7]	[4, 7, 11]
17	2.25	0.125	0.125	['G2', 'B3', 'B4']	['M10', 'M17', 'P8']	[0, 4]	[7, 11]
17	2.38	0.0625	0.125	['G2', 'E4', 'B4']	['M13', 'M17', 'P5']	[0, 3, 7]	[4, 7, 11]
17	2.5	0.25	0.125	['F#2', 'A4']	['m17']	[0, 3]	[6, 9]
17	2.62	0.0625	0.125	['F#2', 'D#3', 'A4']	['M6', 'm17', 'd12']	[0, 3, 6]	[3, 6, 9]
17	2.75	0.125	0.125	['F#2', 'A3', 'A4']	['m10', 'm17', 'P8']	[0, 3]	[6, 9]
17	2.88	0.0625	0.125	['F#2', 'D#4', 'A4']	['M13', 'm17', 'd5']	[0, 3, 6]	[3, 6, 9]
18	1.0	1.0	0.125	['E2', 'G4']	['m17']	[0, 3]	[4, 7]
18	1.12	0.0625	0.125	['E2', 'E3', 'G4']	['P8', 'm17', 'm10']	[0, 3]	[4, 7]
18	1.25	0.125	0.125	['E2', 'G3', 'G4']	['m10', 'm17', 'P8']	[0, 3]	[4, 7]
18	1.38	0.0625	0.125	['E2', 'E4', 'G4']	['P15', 'm17', 'm3']	[0, 3]	[4, 7]
18	1.5	0.25	0.125	['E3', 'G5']	['m17']	[0, 3]	[4, 7]
18	1.62	0.0625	0.125	['E3', 'B3', 'G5']	['P5', 'm17', 'm13']	[0, 3, 7]	[4, 7, 11]
18	1.75	0.125	0.125	['E3', 'E4', 'G5']	['P8', 'm17', 'm10']	[0, 3]	[4, 7]
18	1.88	0.0625	0.125	['E3', 'G4', 'G5']	['m10', 'm17', 'P8']	[0, 3]	[4, 7]
18	2.0	0.5	0.125	['D3', 'F#5']	['M17']	[0, 4]	[2, 6]
18	2.12	0.0625	0.125	['D3', 'B3', 'F#5']	['M6', 'M17', 'P12']	[0, 3, 7]	[11, 2, 6]
18	2.25	0.125	0.125	['D3', 'D4', 'F#5']	['P8', 'M17', 'M10']	[0, 4]	[2, 6]
18	2.38	0.0625	0.125	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
18	2.5	0.25	0.125	['C#3', 'E#5']	['M17']	[0, 4]	[1, 5]
18	2.62	0.0625	0.125	['C#3', 'B3', 'E#5']	['m7', 'M17', 'A11']	[0, 2, 6]	[11, 1, 5]
18	2.75	0.125	0.125	['C#3', 'C#4', 'E#5']	['P8', 'M17', 'M10']	[0, 4]	[1, 5]
18	2.88	0.0625	0.125	['C#3', 'E#4', 'E#5']	['M10', 'M17', 'P8']	[0, 4]	[1, 5]
19	1.0	1.0	0.125	['G3', 'E5']	['M13']	[0, 3]	[4, 7]
19	1.12	0.0625	0.125	['G3', 'B3', 'E5']	['M3', 'M13', 'P11']	[0, 3, 7]	[4, 7, 11]
19	1.25	0.125	0.125	['G3', 'E4', 'E5']	['M6', 'M13', 'P8']	[0, 3]	[4, 7]
19	1.38	0.0625	0.125	['G3', 'B4', 'E5']	['M10', 'M13', 'P4']	[0, 3, 7]	[4, 7, 11]
19	1.5	0.25	0.125	['F#3', 'D5']	['m13']	[0, 4]	[2, 6]
19	1.62	0.0625	0.125	['F#3', 'A#3', 'D5']	['M3', 'm13', 'd11']	[0, 4, 8]	[2, 6, 10]
19	1.75	0.125	0.125	['F#3', 'D4', 'D5']	['m6', 'm13', 'P8']	[0, 4]	[2, 6]
19	1.88	0.0625	0.125	['F#3', 'A#4', 'D5']	['M10', 'm13', 'd4']	[0, 4, 8]	[2, 6, 10]
19	2.0	0.5	0.125	['E3', 'C#5']	['M13']	[0, 3]	[1, 4]
19	2.12	0.0625	0.125	['E3', 'G3', 'C#5']	['m3', 'M13', 'A11']	[0, 3, 6]	[1, 4, 7]
19	2.25	0.125	0.125	['E3', 'C#4', 'C#5']	['M6', 'M13', 'P8']	[0, 3]	[1, 4]
19	2.38	0.0625	0.125	['E3', 'G4', 'C#5']	['m10', 'M13', 'A4']	[0, 3, 6]	[1, 4, 7]
19	2.5	0.25	0.125	['F#3', 'A#4']	['M10']	[0, 4]	[6, 10]
19	2.62	0.0625	0.125	['F#3', 'A#3', 'A#4']	['M3', 'M10', 'P8']	[0, 4]	[6, 10]
19	2.75	0.125	0.125	['F#3', 'C#4', 'A#4']	['P5', 'M10', 'M6']	[0, 3, 7]	[6, 10, 1]
19	2.88	0.0625	0.125	['F#3', 'E4', 'A#4']	['m7', 'M10', 'A4']	[0, 2, 6]	[4, 6, 10]
20	1.0	1.0	0.125	['B2', 'B4']	['P15']	[0]	[11]
20	1.12	0.0625	0.125	['B2', 'F#3', 'B4']	['P5', 'P15', 'P11']	[0, 5]	[6, 11]
20	1.25	0.125	0.125	['B2', 'B3', 'B4']	['P8', 'P15']	[0]	[11]
20	1.38	0.0625	0.125	['B2', 'D4', 'B4']	['m10', 'P15', 'M6']	[0, 3]	[11, 2]
20	1.5	0.25	0.125	['E3', 'G4', 'A4', 'B4']	['m10', 'P11', 'P12', 'M2', 'M3']	[0, 2, 4, 7]	[4, 7, 9, 11]
20	1.62	0.0625	0.125	['E3', 'G3', 'G4', 'B4']	['m3', 'm10', 'P12', 'P8', 'M10', 'M3']	[0, 3, 7]	[4, 7, 11]
20	1.75	0.125	0.125	['E3', 'B3', 'G4', 'B4']	['P5', 'm10', 'P12', 'm6', 'P8', 'M3']	[0, 3, 7]	[4, 7, 11]
20	1.88	0.0625	0.125	['E3', 'E4', 'G4', 'B4']	['P8', 'm10', 'P12', 'm3', 'P5', 'M3']	[0, 3, 7]	[4, 7, 11]
20	2.0	0.5	0.125	['B2', 'F#4', 'B4']	['P12', 'P15', 'P4']	[0, 5]	[6, 11]
20	2.12	0.0625	0.125	['B2', 'F#3', 'F#4', 'B4']	['P5', 'P12', 'P15', 'P8', 'P11', 'P4']	[0, 5]	[6, 11]
20	2.25	0.125	0.125	['B2', 'B3', 'F#4', 'B4']	['P8', 'P12', 'P15', 'P5', 'P4']	[0, 5]	[6, 11]
20	2.38	0.0625	0.125	['B2', 'D4', 'F#4', 'B4']	['m10', 'P12', 'P15', 'M3', 'M6', 'P4']	[0, 3, 7]	[11, 2, 6]
20	2.5	0.25	0.125	['E3', 'G4', 'A4', 'B4']	['m10', 'P11', 'P12', 'M2', 'M3']	[0, 2, 4, 7]	[4, 7, 9, 11]
20	2.62	0.0625	0.125	['E3', 'G3', 'G4', 'B4']	['m3', 'm10', 'P12', 'P8', 'M10', 'M3']	[0, 3, 7]	[4, 7, 11]
20	2.75	0.125	0.125	['E3', 'B3', 'G4', 'B4']	['P5', 'm10', 'P12', 'm6', 'P8', 'M3']	[0, 3, 7]	[4, 7, 11]
20	2.88	0.0625	0.125	['E3', 'E4', 'G4', 'B4']	['P8', 'm10', 'P12', 'm3', 'P5', 'M3']	[0, 3, 7]	[4, 7, 11]
21	1.0	1.0	0.125	['B2', 'F#4', 'B4']	['P12', 'P15', 'P4']	[0, 5]	[6, 11]
21	1.12	0.0625	0.125	['B2', 'F#3', 'F#4', 'B4']	['P5', 'P12', 'P15', 'P8', 'P11', 'P4']	[0, 5]	[6, 11]
21	1.25	0.125	0.125	['B2', 'B3', 'F#4', 'B4']	['P8', 'P12', 'P15', 'P5', 'P4']	[0, 5]	[6, 11]
21	1.38	0.0625	0.125	['B2', 'D4', 'F#4', 'B4']	['m10', 'P12', 'P15', 'M3', 'M6', 'P4']	[0, 3, 7]	[11, 2, 6]
21	1.5	0.25	0.125	['E3', 'E4', 'F#4', 'B4']	['P8', 'M9', 'P12', 'M2', 'P5', 'P4']	[0, 2, 7]	[4, 6, 11]
21	1.62	0.0625	0.125	['E3', 'G3', 'E4', 'B4']	['m3', 'P8', 'P12', 'M6', 'M10', 'P5']	[0, 3, 7]	[4, 7, 11]
21	1.75	0.125	0.125	['E3', 'B3', 'E4', 'B4']	['P5', 'P8', 'P12', 'P4']	[0, 5]	[11, 4]
21	1.88	0.0625	0.125	['E3', 'C#4', 'E4', 'B4']	['M6', 'P8', 'P12', 'm3', 'm7', 'P5']	[0, 2, 5]	[11, 1, 4]
21	2.0	0.5	0.125	['B2', 'D4', 'B4']	['m10', 'P15', 'M6']	[0, 3]	[11, 2]
21	2.12	0.0625	0.125	['B2', 'F#3', 'D4', 'B4']	['P5', 'm10', 'P15', 'm6', 'P11', 'M6']	[0, 3, 7]	[11, 2, 6]
21	2.25	0.125	0.125	['B2', 'B3', 'D4', 'B4']	['P8', 'm10', 'P15', 'm3', 'M6']	[0, 3]	[11, 2]
21	2.38	0.0625	0.125	['B2', 'D4', 'B4']	['m10', 'P15', 'M6']	[0, 3]	[11, 2]
21	2.5	0.25	0.125	['E3', 'E4', 'F#4', 'B4']	['P8', 'M9', 'P12', 'M2', 'P5', 'P4']	[0, 2, 7]	[4, 6, 11]
21	2.62	0.0625	0.125	['E3', 'G3', 'E4', 'B4']	['m3', 'P8', 'P12', 'M6', 'M10', 'P5']	[0, 3, 7]	[4, 7, 11]
21	2.75	0.125	0.125	['E3', 'B3', 'E4', 'B4']	['P5', 'P8', 'P12', 'P4']	[0, 5]	[11, 4]
21	2.88	0.0625	0.125	['E3', 'C#4', 'E4', 'B4']	['M6', 'P8', 'P12', 'm3', 'm7', 'P5']	[0, 2, 5]	[11, 1, 4]
22	1.0	1.0	2.0	['B2', 'F#3', 'B3', 'D4', 'B4']	['P5', 'P8', 'm10', 'P15', 'P4', 'm6', 'P11', 'm3', 'M6']	[0, 3, 7]	[11, 2, 6]
