6	317/100	0.0625	0.16666666666666666	['C#2', 'G#2', 'E#3', 'C#4', 'E#4', 'G#4', 'C#5']	['P5', 'M10', 'P15', 'M17', 'P19', 'P22', 'M6', 'P11', 'M13', 'P18', 'm6', 'P8', 'm10', 'm13', 'M3', 'm3', 'P4']	[0, 3, 7]	[1, 5, 8]
6	333/100	0.0625	0.16666666666666666	['C#2', 'G#2', 'E#3', 'C#4', 'E#4', 'G#4', 'C#5']	['P5', 'M10', 'P15', 'M17', 'P19', 'P22', 'M6', 'P11', 'M13', 'P18', 'm6', 'P8', 'm10', 'm13', 'M3', 'm3', 'P4']	[0, 3, 7]	[1, 5, 8]
6	3.5	0.125	0.16666666666666666	['E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'B4']	['P5', 'M10', 'P12', 'P15', 'M17', 'P19', 'M6', 'P8', 'P11', 'M13', 'm3', 'm6', 'm10', 'P4', 'M3']	[0, 3, 7]	[4, 8, 11]
6	367/100	0.0625	0.16666666666666666	['E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'A#4', 'B4']	['P5', 'M10', 'P12', 'P15', 'M17', 'A18', 'P19', 'M6', 'P8', 'P11', 'M13', 'M14', 'm3', 'm6', 'M9', 'm10', 'P4', 'M7', 'M3', 'A4', 'M2', 'm2']	[0, 1, 3, 7]	[4, 8, 10, 11]
6	383/100	0.0625	0.16666666666666666	['E2', 'B2', 'G#3', 'B3', 'E4', 'G#4', 'B4']	['P5', 'M10', 'P12', 'P15', 'M17', 'P19', 'M6', 'P8', 'P11', 'M13', 'm3', 'm6', 'm10', 'P4', 'M3']	[0, 3, 7]	[4, 8, 11]
6	4.0	0.25	0.16666666666666666	['E4', 'G#4', 'B4', 'E5', 'G#5']	['M3', 'P5', 'P8', 'M10', 'm3', 'm6', 'P4', 'M6']	[0, 3, 7]	[4, 8, 11]
6	417/100	0.0625	0.16666666666666666	['E4', 'B4', 'E5', 'G#5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[4, 8, 11]
6	433/100	0.0625	0.16666666666666666	['E4', 'B4', 'E5', 'G#5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[4, 8, 11]
6	4.5	0.125	0.5	['E4', 'B4', 'E5', 'G#5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[4, 8, 11]
7	1.0	1.0	0.16666666666666666	['G#4', 'B4']	['m3']	[0, 3]	[8, 11]
7	117/100	0.0625	0.16666666666666666	['F#4', 'B4']	['P4']	[0, 5]	[6, 11]
7	133/100	0.0625	0.16666666666666666	['E4', 'B4']	['P5']	[0, 5]	[11, 4]
7	1.5	0.125	0.16666666666666666	['E4', 'G#4', 'B4', 'E5']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[4, 8, 11]
7	167/100	0.0625	0.16666666666666666	['E4', 'F#4', 'B4', 'E5']	['M2', 'P5', 'P8', 'P4', 'm7']	[0, 2, 7]	[4, 6, 11]
7	183/100	0.0625	0.16666666666666666	['E4', 'B4', 'E5']	['P5', 'P8', 'P4']	[0, 5]	[11, 4]
7	2.0	0.25	0.16666666666666666	['F#4', 'A#4', 'C#5']	['M3', 'P5', 'm3']	[0, 3, 7]	[6, 10, 1]
7	217/100	0.0625	0.16666666666666666	['F#4', 'G#4', 'C#5']	['M2', 'P5', 'P4']	[0, 2, 7]	[6, 8, 1]
7	233/100	0.0625	0.16666666666666666	['F#4', 'C#5']	['P5']	[0, 5]	[1, 6]
7	2.5	0.125	0.16666666666666666	['E4', 'F#4', 'A#4', 'C#5', 'E5']	['M2', 'A4', 'M6', 'P8', 'M3', 'P5', 'm7', 'm3', 'd5']	[0, 2, 5, 8]	[10, 1, 4, 6]
7	267/100	0.0625	0.16666666666666666	['E4', 'F#4', 'G#4', 'C#5', 'E5']	['M2', 'M3', 'M6', 'P8', 'P5', 'm7', 'P4', 'm6', 'm3']	[0, 2, 4, 7]	[1, 4, 6, 8]
7	283/100	0.0625	0.16666666666666666	['E4', 'F#4', 'C#5', 'E5']	['M2', 'M6', 'P8', 'P5', 'm7', 'm3']	[0, 2, 5]	[1, 4, 6]
7	3.0	0.5	0.16666666666666666	['E4', 'G#4', 'B4']	['M3', 'P5', 'm3']	[0, 3, 7]	[4, 8, 11]
7	317/100	0.0625	0.16666666666666666	['E4', 'F#4', 'B4']	['M2', 'P5', 'P4']	[0, 2, 7]	[4, 6, 11]
7	333/100	0.0625	0.16666666666666666	['E4', 'B4']	['P5']	[0, 5]	[11, 4]
7	3.5	0.125	0.16666666666666666	['E4', 'G#4', 'B4', 'E5']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[4, 8, 11]
7	367/100	0.0625	0.16666666666666666	['E4', 'F#4', 'B4', 'E5']	['M2', 'P5', 'P8', 'P4', 'm7']	[0, 2, 7]	[4, 6, 11]
7	383/100	0.0625	0.16666666666666666	['E4', 'B4', 'E5']	['P5', 'P8', 'P4']	[0, 5]	[11, 4]
7	4.0	0.25	0.16666666666666666	['D#4', 'G#4', 'B4']	['P4', 'm6', 'm3']	[0, 3, 7]	[8, 11, 3]
7	417/100	0.0625	0.08333333333333333	['D#4', 'F#4', 'B4']	['m3', 'm6', 'P4']	[0, 3, 7]	[11, 3, 6]
7	4.25	0.0625	0.08333333333333333	['D#4', 'F#4', 'B4']	['m3', 'm6', 'P4']	[0, 3, 7]	[11, 3, 6]
7	433/100	0.0625	0.16666666666666666	['D#4', 'E4', 'B4']	['m2', 'm6', 'P5']	[0, 1, 5]	[11, 3, 4]
7	4.5	0.125	0.16666666666666666	['D#4', 'G#4', 'B4', 'D#5']	['P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[8, 11, 3]
7	467/100	0.0625	0.16666666666666666	['D#4', 'F#4', 'B4', 'D#5']	['m3', 'm6', 'P8', 'P4', 'M6', 'M3']	[0, 3, 7]	[11, 3, 6]
7	483/100	0.0625	0.16666666666666666	['D#4', 'E4', 'F#4', 'B4', 'D#5']	['m2', 'm3', 'm6', 'P8', 'M2', 'P5', 'M7', 'P4', 'M6', 'M3']	[0, 2, 3, 7]	[11, 3, 4, 6]
8	1.0	1.0	0.16666666666666666	['F#3', 'C#4', 'F#4', 'A#4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[6, 10, 1]
8	117/100	0.0625	0.16666666666666666	['F#3', 'C#4', 'E#4', 'A#4']	['P5', 'M7', 'M10', 'M3', 'M6', 'P4']	[0, 1, 5, 8]	[5, 6, 10, 1]
8	133/100	0.0625	0.16666666666666666	['F#3', 'C#4', 'D#4', 'A#4']	['P5', 'M6', 'M10', 'M2']	[0, 3, 5, 8]	[10, 1, 3, 6]
