0	3.5	0.25	0.5	['E3']	[]	[0]	[4]
8	3.5	0.25	0.5	['A2', 'E3', 'C#4', 'E4']	['P5', 'M10', 'P12', 'M6', 'P8', 'm3']	[0, 3, 7]	[9, 1, 4]
9	1.0	1.0	0.75	['E2', 'E3', 'G#3', 'C#4', 'E4']	['P8', 'M10', 'M13', 'P15', 'M3', 'M6', 'P4', 'm6', 'm3']	[0, 3, 7]	[1, 4, 8]
9	1.75	0.125	0.25	['E2', 'E3', 'G#3', 'B3', 'D4']	['P8', 'M10', 'P12', 'm14', 'M3', 'P5', 'm7', 'm3', 'd5']	[0, 2, 5, 8]	[8, 11, 2, 4]
9	2.0	0.5	1.0	['A2', 'E3', 'A3', 'C#4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[9, 1, 4]
9	3.0	0.5	0.5	['A2', 'E3', 'A3', 'C#4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[9, 1, 4]
9	3.5	0.25	0.5	['F#2', 'F#3', 'A3', 'C#4', 'C#5']	['P8', 'm10', 'P12', 'P19', 'm3', 'P5', 'M3', 'M10']	[0, 3, 7]	[6, 9, 1]
10	1.0	1.0	0.75	['F#2', 'F#3', 'A3', 'C#4', 'C#5']	['P8', 'm10', 'P12', 'P19', 'm3', 'P5', 'M3', 'M10']	[0, 3, 7]	[6, 9, 1]
10	1.75	0.125	0.25	['D2', 'D3', 'F#3', 'B3', 'B4']	['P8', 'M10', 'M13', 'M20', 'M3', 'M6', 'P4', 'P11']	[0, 3, 7]	[11, 2, 6]
10	2.0	0.5	1.5	['D2', 'D3', 'F#3', 'B3', 'B4']	['P8', 'M10', 'M13', 'M20', 'M3', 'M6', 'P4', 'P11']	[0, 3, 7]	[11, 2, 6]
10	3.5	0.25	0.5	['C#2', 'C#3', 'F#3', 'A#3', 'C#4', 'C#5']	['P8', 'P11', 'M13', 'P15', 'P22', 'P4', 'M6', 'M3', 'P5', 'P12', 'm3', 'm10']	[0, 3, 7]	[6, 10, 1]
11	1.0	1.0	0.75	['B1', 'B2', 'F#3', 'B3', 'D4', 'D5']	['P8', 'P12', 'P15', 'm17', 'm24', 'P5', 'm10', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[11, 2, 6]
11	1.75	0.125	0.25	['F#2', 'F#3', 'A3', 'C#4', 'C#5']	['P8', 'm10', 'P12', 'P19', 'm3', 'P5', 'M3', 'M10']	[0, 3, 7]	[6, 9, 1]
11	2.0	0.5	1.5	['F#2', 'F#3', 'A3', 'C#4', 'C#5']	['P8', 'm10', 'P12', 'P19', 'm3', 'P5', 'M3', 'M10']	[0, 3, 7]	[6, 9, 1]
11	3.5	0.25	0.5	['F#2', 'C#3', 'A3', 'C#4', 'C#5']	['P5', 'm10', 'P12', 'P19', 'm6', 'P8', 'P15', 'M3', 'M10']	[0, 3, 7]	[6, 9, 1]
12	1.0	1.0	0.75	['E#2', 'C#3', 'G#3', 'C#4', 'C#5']	['m6', 'm10', 'm13', 'm20', 'P5', 'P8', 'P15', 'P4', 'P11']	[0, 3, 7]	[1, 5, 8]
12	1.75	0.125	0.25	['E#2', 'C#3', 'G#3', 'B3', 'B4']	['m6', 'm10', 'd12', 'd19', 'P5', 'm7', 'm14', 'm3', 'P8']	[0, 2, 5, 8]	[5, 8, 11, 1]
12	2.0	0.5	1.0	['F#2', 'C#3', 'F#3', 'A3', 'A4']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[6, 9, 1]
12	3.0	0.5	0.3333333333333333	['F#2', 'C#3', 'F#3', 'A3', 'A4']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[6, 9, 1]
12	333/100	0.0625	0.16666666666666666	['F#2', 'C#3', 'F#3', 'A3', 'B4']	['P5', 'P8', 'm10', 'P18', 'P4', 'm6', 'm14', 'm3', 'P11', 'M9']	[0, 2, 4, 7]	[6, 9, 11, 1]
12	3.5	0.25	0.16666666666666666	['F#2', 'C#3', 'A3', 'C#4', 'B4']	['P5', 'm10', 'P12', 'P18', 'm6', 'P8', 'm14', 'M3', 'M9', 'm7']	[0, 2, 4, 7]	[6, 9, 11, 1]
12	367/100	0.0625	0.3333333333333333	['F#2', 'C#3', 'A3', 'C#4', 'C#5']	['P5', 'm10', 'P12', 'P19', 'm6', 'P8', 'P15', 'M3', 'M10']	[0, 3, 7]	[6, 9, 1]
13	1.0	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4', 'C#5']	['m7', 'P8', 'M10', 'M13', 'M20', 'M2', 'A4', 'M7', 'M14', 'M3', 'M6', 'P4', 'P11']	[0, 1, 3, 7]	[1, 2, 4, 8]
13	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3', 'B4']	['m7', 'P8', 'M10', 'P12', 'P19', 'M2', 'A4', 'M6', 'M13', 'M3', 'P5', 'm3', 'm10']	[0, 2, 5, 8]	[8, 11, 2, 4]
13	2.0	0.5	1.0	['A2', 'C#3', 'E3', 'A3', 'A4']	['M3', 'P5', 'P8', 'P15', 'm3', 'm6', 'm13', 'P4', 'P11']	[0, 3, 7]	[9, 1, 4]
13	3.0	0.5	0.5	['A2', 'C#3', 'E3', 'A3']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[9, 1, 4]
13	3.5	0.25	0.5	['F#2', 'C#3', 'A3', 'C#4']	['P5', 'm10', 'P12', 'm6', 'P8', 'M3']	[0, 3, 7]	[6, 9, 1]
14	1.0	1.0	0.75	['E#2', 'C#3', 'G#3', 'C#4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[1, 5, 8]
14	1.75	0.125	0.25	['E2', 'B2', 'G#3', 'D4']	['P5', 'M10', 'm14', 'M6', 'm10', 'd5']	[0, 2, 5, 8]	[8, 11, 2, 4]
14	2.0	0.5	1.5	['E2', 'B2', 'G#3', 'D4']	['P5', 'M10', 'm14', 'M6', 'm10', 'd5']	[0, 2, 5, 8]	[8, 11, 2, 4]
14	3.5	0.25	0.5	['A2', 'C#3', 'E3', 'A3', 'C#4']	['M3', 'P5', 'P8', 'M10', 'm3', 'm6', 'P4', 'M6']	[0, 3, 7]	[9, 1, 4]
15	1.0	1.0	0.75	['E2', 'D3', 'E3', 'G#3', 'C#4']	['m7', 'P8', 'M10', 'M13', 'M2', 'A4', 'M7', 'M3', 'M6', 'P4']	[0, 1, 3, 7]	[1, 2, 4, 8]
15	1.75	0.125	0.25	['E2', 'D3', 'E3', 'G#3', 'B3']	['m7', 'P8', 'M10', 'P12', 'M2', 'A4', 'M6', 'M3', 'P5', 'm3']	[0, 2, 5, 8]	[8, 11, 2, 4]
