19	7/3	0.25	0.5	['B-3', 'D-4', 'G-4', 'A-4']	['m3', 'm6', 'm7', 'P4', 'P5', 'M2']	[0, 2, 4, 7]	[6, 8, 10, 1]
19	8/3	0.25	0.5	['A-3', 'D-4', 'F4', 'A-4']	['P4', 'M6', 'P8', 'M3', 'P5', 'm3']	[0, 3, 7]	[1, 5, 8]
20	1.0	1.0	0.5	['G-3', 'A-3', 'E-4', 'A-4']	['M2', 'M6', 'M9', 'P5', 'P8', 'P4']	[0, 2, 5]	[3, 6, 8]
20	4/3	0.25	0.5	['G-3', 'A-3', 'E-4', 'A-4']	['M2', 'M6', 'M9', 'P5', 'P8', 'P4']	[0, 2, 5]	[3, 6, 8]
20	5/3	0.25	0.5	['F3', 'A-3', 'D-4', 'A-4']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[1, 5, 8]
20	2.0	0.5	0.5	['A-2', 'E-3', 'G-3', 'C4', 'A-4']	['P5', 'm7', 'M10', 'P15', 'm3', 'M6', 'P11', 'A4', 'M9', 'm6']	[0, 2, 5, 8]	[0, 3, 6, 8]
20	7/3	0.25	0.5	['A-2', 'D-3', 'F3', 'B-3', 'A-4']	['P4', 'M6', 'M9', 'P15', 'M3', 'P12', 'm10', 'm7']	[0, 3, 5, 8]	[5, 8, 10, 1]
20	8/3	0.25	0.5	['A-2', 'E-3', 'G-3', 'C4', 'E-4', 'A-4']	['P5', 'm7', 'M10', 'P12', 'P15', 'm3', 'M6', 'P8', 'P11', 'A4', 'M9', 'm6', 'P4']	[0, 2, 5, 8]	[0, 3, 6, 8]
21	1.0	1.0	0.5	['D-2', 'G-4']	['P18']	[0, 5]	[1, 6]
21	4/3	0.25	0.5	['D-3', 'F4']	['M10']	[0, 4]	[1, 5]
21	5/3	0.25	0.5	['A-3', 'D-4', 'F4', 'A-4']	['P4', 'M6', 'P8', 'M3', 'P5', 'm3']	[0, 3, 7]	[1, 5, 8]
21	2.0	0.5	0.5	['B-3', 'D-4', 'G-4', 'A-4']	['m3', 'm6', 'm7', 'P4', 'P5', 'M2']	[0, 2, 4, 7]	[6, 8, 10, 1]
21	7/3	0.25	0.5	['B-3', 'D-4', 'G-4', 'A-4']	['m3', 'm6', 'm7', 'P4', 'P5', 'M2']	[0, 2, 4, 7]	[6, 8, 10, 1]
21	8/3	0.25	0.5	['A-3', 'D-4', 'F4', 'A-4']	['P4', 'M6', 'P8', 'M3', 'P5', 'm3']	[0, 3, 7]	[1, 5, 8]
22	1.0	1.0	0.5	['G-3', 'A-3', 'E-4', 'A-4', 'E-5']	['M2', 'M6', 'M9', 'M13', 'P5', 'P8', 'P12', 'P4']	[0, 2, 5]	[3, 6, 8]
22	4/3	0.25	0.5	['G-3', 'A-3', 'E-4', 'A-4', 'E-5']	['M2', 'M6', 'M9', 'M13', 'P5', 'P8', 'P12', 'P4']	[0, 2, 5]	[3, 6, 8]
22	5/3	0.25	0.5	['F3', 'A-3', 'D-4', 'A-4', 'D-5']	['m3', 'm6', 'm10', 'm13', 'P4', 'P8', 'P11', 'P5']	[0, 3, 7]	[1, 5, 8]
22	2.0	0.5	0.5	['A-2', 'E-3', 'G-3', 'C4', 'A-4', 'C5']	['P5', 'm7', 'M10', 'P15', 'M17', 'm3', 'M6', 'P11', 'M13', 'A4', 'M9', 'A11', 'm6', 'P8', 'M3']	[0, 2, 5, 8]	[0, 3, 6, 8]
22	7/3	0.25	0.5	['A-2', 'D-3', 'F3', 'B-3', 'A-4', 'B-4']	['P4', 'M6', 'M9', 'P15', 'M16', 'M3', 'P12', 'M13', 'm10', 'P11', 'm7', 'P8', 'M2']	[0, 3, 5, 8]	[5, 8, 10, 1]
22	8/3	0.25	0.5	['A-2', 'E-3', 'G-3', 'C4', 'A-4', 'C5']	['P5', 'm7', 'M10', 'P15', 'M17', 'm3', 'M6', 'P11', 'M13', 'A4', 'M9', 'A11', 'm6', 'P8', 'M3']	[0, 2, 5, 8]	[0, 3, 6, 8]
23	1.0	1.0	0.5	['F2', 'F5']	['P22']	[0]	[5]
23	4/3	0.25	0.5	['F3', 'A3', 'E-4', 'C5', 'F5']	['M3', 'm7', 'P12', 'P15', 'd5', 'm10', 'm13', 'M6', 'M9', 'P4']	[0, 2, 5, 8]	[9, 0, 3, 5]
23	5/3	0.25	0.5	['F3', 'B-3', 'E-4', 'G4', 'F5']	['P4', 'm7', 'M9', 'P15', 'M6', 'P12', 'M3']	[0, 2, 4, 7]	[3, 5, 7, 10]
23	2.0	0.5	0.5	['F3', 'C4', 'E-4', 'A4', 'F5']	['P5', 'm7', 'M10', 'P15', 'm3', 'M6', 'P11', 'A4', 'M9', 'm6']	[0, 2, 5, 8]	[9, 0, 3, 5]
23	7/3	0.25	0.5	['F3', 'B-3', 'E-4', 'B-4', 'F5']	['P4', 'm7', 'P11', 'P15', 'P8', 'P12', 'P5', 'M9']	[0, 2, 7]	[3, 5, 10]
23	8/3	0.25	0.5	['F3', 'A3', 'E-4', 'C5']	['M3', 'm7', 'P12', 'd5', 'm10', 'M6']	[0, 2, 5, 8]	[9, 0, 3, 5]
24	1.0	1.0	0.5	['B-2', 'D-5']	['m17']	[0, 3]	[10, 1]
24	4/3	0.25	0.5	['B-3', 'D-4', 'F4', 'D-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[10, 1, 5]
24	5/3	0.25	0.5	['B-3', 'D-4', 'F4', 'D-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[10, 1, 5]
24	2.0	0.5	0.5	['C4', 'E-4', 'F4', 'E-5']	['m3', 'P4', 'm10', 'M2', 'P8', 'm7']	[0, 2, 5]	[0, 3, 5]
24	7/3	0.25	0.5	['B-3', 'D-4', 'F4', 'D-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[10, 1, 5]
24	8/3	0.25	0.5	['B-3', 'D-4', 'F4', 'D-5']	['m3', 'P5', 'm10', 'M3', 'P8', 'm6']	[0, 3, 7]	[10, 1, 5]
25	1.0	1.0	0.5	['A-2', 'C5']	['M17']	[0, 4]	[8, 0]
25	4/3	0.25	0.5	['A-3', 'C4', 'D-4', 'C5']	['M3', 'P4', 'M10', 'm2', 'P8', 'M7']	[0, 1, 5]	[8, 0, 1]
25	5/3	0.25	0.5	['G-3', 'B-3', 'D-4', 'B-4']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[6, 10, 1]
25	2.0	0.5	0.5	['E-2', 'A-4']	['P18']	[0, 5]	[3, 8]
25	7/3	0.25	0.5	['E-3', 'F3', 'C-4', 'D4', 'A-4']	['M2', 'm6', 'M7', 'P11', 'd5', 'M6', 'm10', 'A2']	[0, 1, 3, 6, 9]	[2, 3, 5, 8, 11]
25	8/3	0.25	0.5	['E-3', 'G-3', 'B-3', 'E-4', 'G-4']	['m3', 'P5', 'P8', 'm10', 'M3', 'M6', 'P4', 'm6']	[0, 3, 7]	[3, 6, 10]
26	1.0	1.0	0.5	['A-1', 'F4']	['M20']	[0, 3]	[5, 8]
