25	2.5	0.25	1.0	['G3', 'C4', 'E4', 'G4', 'C5', 'E5', 'A5']	['P4', 'M6', 'P8', 'P11', 'M13', 'M16', 'M3', 'P5', 'M10', 'm3', 'm6', 'M9']	[0, 3, 5, 8]	[4, 7, 9, 0]
26	1.0	1.0	0.6666666666666666	['C2', 'G2', 'E4']	['P5', 'M17', 'M13']	[0, 3, 7]	[0, 4, 7]
26	133/100	0.0625	0.6666666666666666	['C2', 'G2', 'D#4']	['P5', 'A16', 'A12']	[0, 3, 7]	[0, 3, 7]
26	167/100	0.0625	0.6666666666666666	['C2', 'G2', 'E4']	['P5', 'M17', 'M13']	[0, 3, 7]	[0, 4, 7]
26	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'E5', 'G5', 'B5']	['P5', 'P12', 'P15', 'M17', 'P19', 'M24', 'P26', 'M28', 'P8', 'P11', 'M13', 'M20', 'P22', 'P4', 'M6', 'M3', 'M10', 'M14', 'm3', 'm10']	[0, 1, 5, 8]	[11, 0, 4, 7]
26	2.5	0.25	1.0	['G3', 'C4', 'E4', 'G4', 'E5', 'G5', 'C6']	['P4', 'M6', 'P8', 'M13', 'P15', 'P18', 'M3', 'P5', 'M10', 'P12', 'm3', 'm10', 'm13', 'P11', 'm6']	[0, 3, 7]	[0, 4, 7]
27	1.0	1.0	0.6666666666666666	['C2', 'G2', 'E4']	['P5', 'M17', 'M13']	[0, 3, 7]	[0, 4, 7]
27	133/100	0.0625	0.6666666666666666	['C2', 'G2', 'D#4']	['P5', 'A16', 'A12']	[0, 3, 7]	[0, 3, 7]
27	167/100	0.0625	0.6666666666666666	['C2', 'G2', 'E4']	['P5', 'M17', 'M13']	[0, 3, 7]	[0, 4, 7]
27	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'A4', 'E5', 'G5', 'D6']	['P5', 'P12', 'P15', 'M17', 'P19', 'M20', 'M24', 'P26', 'M30', 'P8', 'P11', 'M13', 'M16', 'P22', 'P4', 'M6', 'M9', 'M3', 'M10', 'm3', 'm10', 'm14', 'M2', 'm7']	[0, 2, 4, 7, 9]	[0, 2, 4, 7, 9]
27	2.5	0.25	1.0	['G3', 'C4', 'E4', 'A4', 'E5', 'G5', 'E6']	['P4', 'M6', 'M9', 'M13', 'P15', 'M20', 'M3', 'M10', 'P12', 'M17', 'P8', 'm10', 'P5', 'm7', 'm3']	[0, 3, 5, 8]	[4, 7, 9, 0]
28	1.0	1.0	2.0	['D2', 'D3', 'F4', 'A4']	['P8', 'm17', 'P19', 'm10', 'P12', 'M3']	[0, 3, 7]	[2, 5, 9]
28	2.0	0.5	1.0	['D2', 'D3', 'G3', 'B3', 'D4', 'F4', 'G4', 'F5', 'B5', 'E6']	['P8', 'P11', 'M13', 'P15', 'm17', 'P18', 'm24', 'M27', 'M30', 'P4', 'M6', 'm10', 'M20', 'M23', 'M3', 'P5', 'm7', 'm14', 'M17', 'm3', 'd5', 'm6', 'd12', 'M16', 'M2', 'A11', 'M14', 'M10', 'A4', 'M7']	[0, 2, 3, 5, 8]	[11, 2, 4, 5, 7]
28	2.5	0.25	1.0	['G3', 'B3', 'D4', 'F4', 'F5', 'B5', 'F6']	['M3', 'P5', 'm7', 'm14', 'M17', 'm21', 'm3', 'd5', 'd12', 'P15', 'd19', 'm10', 'M13', 'm17', 'P8', 'A11', 'A4']	[0, 2, 5, 8]	[11, 2, 5, 7]
29	1.0	1.0	0.6666666666666666	['G1', 'G2', 'F4']	['P8', 'm21', 'm14']	[0, 2]	[5, 7]
29	133/100	0.0625	0.6666666666666666	['G1', 'G2', 'E4']	['P8', 'M20', 'M13']	[0, 3]	[4, 7]
29	167/100	0.0625	0.6666666666666666	['G1', 'G2', 'F4']	['P8', 'm21', 'm14']	[0, 2]	[5, 7]
29	2.0	0.5	1.0	['G1', 'G2', 'G3', 'B3', 'D4', 'G4', 'A4', 'F5', 'B5', 'F6']	['P8', 'P15', 'M17', 'P19', 'P22', 'M23', 'm28', 'M31', 'm35', 'M10', 'P12', 'M16', 'm21', 'M24', 'M3', 'P5', 'M9', 'm14', 'm3', 'm6', 'm7', 'd12', 'd19', 'P4', 'm10', 'M13', 'm17', 'M2', 'm13', 'A4', 'd5']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
29	2.5	0.25	1.0	['G3', 'B3', 'D4', 'F4', 'A4', 'G5', 'B5', 'G6']	['M3', 'P5', 'm7', 'M9', 'P15', 'M17', 'P22', 'm3', 'd5', 'm13', 'm20', 'P11', 'M13', 'P18', 'A11', 'M16', 'm14', 'P8', 'm6']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
30	1.0	1.0	0.6666666666666666	['G1', 'G2', 'F4']	['P8', 'm21', 'm14']	[0, 2]	[5, 7]
30	133/100	0.0625	0.6666666666666666	['G1', 'G2', 'E4']	['P8', 'M20', 'M13']	[0, 3]	[4, 7]
30	167/100	0.0625	0.6666666666666666	['G1', 'G2', 'F4']	['P8', 'm21', 'm14']	[0, 2]	[5, 7]
30	2.0	0.5	1.0	['G1', 'G2', 'G3', 'B3', 'D4', 'G4', 'A4', 'G5', 'B5', 'F6', 'G6']	['P8', 'P15', 'M17', 'P19', 'P22', 'M23', 'P29', 'M31', 'm35', 'P36', 'M10', 'P12', 'M16', 'M24', 'm28', 'M3', 'P5', 'M9', 'm21', 'm3', 'm6', 'm7', 'm13', 'd19', 'm20', 'P4', 'P11', 'M13', 'm17', 'P18', 'M2', 'm14', 'd5']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
30	2.5	0.25	1.0	['G3', 'B3', 'D4', 'F4', 'A4', 'A5', 'F6', 'A6']	['M3', 'P5', 'm7', 'M9', 'M16', 'm21', 'M23', 'm3', 'd5', 'm14', 'd19', 'P12', 'm17', 'P19', 'M10', 'P15', 'M17', 'P8', 'm13', 'm6']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
31	1.0	1.0	0.6666666666666666	['G1', 'G2', 'F4']	['P8', 'm21', 'm14']	[0, 2]	[5, 7]
31	133/100	0.0625	0.6666666666666666	['G1', 'G2', 'E4']	['P8', 'M20', 'M13']	[0, 3]	[4, 7]
31	167/100	0.0625	0.6666666666666666	['G1', 'G2', 'F4']	['P8', 'm21', 'm14']	[0, 2]	[5, 7]
31	2.0	0.5	1.0	['G1', 'G2', 'G3', 'B3', 'D4', 'G4', 'B4', 'A5', 'F6', 'A6']	['P8', 'P15', 'M17', 'P19', 'P22', 'M24', 'M30', 'm35', 'M37', 'M10', 'P12', 'M23', 'm28', 'M3', 'P5', 'M16', 'm21', 'm3', 'm6', 'm14', 'd19', 'P4', 'M6', 'm17', 'M9', 'm7', 'd12']	[0, 2, 4, 6, 9]	[5, 7, 9, 11, 2]
31	2.5	0.25	1.0	['G3', 'B3', 'D4', 'F4', 'B4', 'B5', 'F6', 'B6']	['M3', 'P5', 'm7', 'M10', 'M17', 'm21', 'M24', 'm3', 'd5', 'P8', 'P15', 'd19', 'P22', 'M6', 'M13', 'm17', 'M20', 'A4', 'A11', 'A18', 'd12']	[0, 2, 5, 8]	[11, 2, 5, 7]
32	1.0	1.0	2.0	['C2', 'G2', 'E4', 'B4']	['P5', 'M17', 'M21', 'M13']	[0, 1, 5, 8]	[11, 0, 4, 7]
