5	1.75	0.125	0.125	['E3', 'G4', 'D5', 'G5']	['m10', 'm14', 'm17', 'P5', 'P8', 'P4']	[0, 2, 5]	[2, 4, 7]
5	1.875	0.0625	0.125	['E3', 'B-4', 'D5', 'G5']	['d12', 'm14', 'm17', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
5	2.0	0.5	0.125	['A3', 'C#5', 'E5']	['M10', 'P12', 'm3']	[0, 3, 7]	[9, 1, 4]
5	2.125	0.0625	0.125	['A3', 'C#4', 'C#5', 'E5']	['M3', 'M10', 'P12', 'P8', 'm10', 'm3']	[0, 3, 7]	[9, 1, 4]
5	2.25	0.125	0.125	['A3', 'G4', 'C#5', 'E5']	['m7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[1, 4, 7, 9]
5	2.375	0.0625	0.125	['A3', 'A4', 'C#5', 'E5']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[9, 1, 4]
5	2.5	0.25	0.125	['A3', 'D5', 'E5']	['P11', 'P12', 'M2']	[0, 2, 7]	[2, 4, 9]
5	2.625	0.0625	0.125	['A3', 'C#4', 'D5', 'E5']	['M3', 'P11', 'P12', 'm9', 'm10', 'M2']	[0, 2, 3, 7]	[9, 1, 2, 4]
5	2.75	0.125	0.125	['A3', 'G4', 'E5']	['m7', 'P12', 'M6']	[0, 2, 5]	[4, 7, 9]
5	2.875	0.0625	0.125	['A3', 'A4', 'E5']	['P8', 'P12', 'P5']	[0, 5]	[4, 9]
6	1.0	1.0	0.125	['D3', 'F#5']	['M17']	[0, 4]	[2, 6]
6	1.125	0.0625	0.125	['D3', 'C#4', 'F#5']	['M7', 'M17', 'P11']	[0, 1, 5]	[1, 2, 6]
6	1.25	0.125	0.125	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
6	1.375	0.0625	0.125	['D3', 'A4', 'F#5']	['P12', 'M17', 'M6']	[0, 3, 7]	[2, 6, 9]
6	1.5	0.25	0.125	['D3', 'F#5']	['M17']	[0, 4]	[2, 6]
6	1.625	0.0625	0.125	['D3', 'C#4', 'F#5']	['M7', 'M17', 'P11']	[0, 1, 5]	[1, 2, 6]
6	1.75	0.125	0.125	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
6	1.875	0.0625	0.125	['D3', 'A4', 'F#5']	['P12', 'M17', 'M6']	[0, 3, 7]	[2, 6, 9]
6	2.0	0.5	0.125	['G3', 'D5']	['P12']	[0, 5]	[2, 7]
6	2.125	0.0625	0.125	['G3', 'B3', 'D5']	['M3', 'P12', 'm10']	[0, 3, 7]	[7, 11, 2]
6	2.25	0.125	0.125	['G3', 'D4', 'D5']	['P5', 'P12', 'P8']	[0, 5]	[2, 7]
6	2.375	0.0625	0.125	['G3', 'F#4', 'D5']	['M7', 'P12', 'm6']	[0, 1, 5]	[2, 6, 7]
6	2.5	0.25	0.125	['G3', 'D5']	['P12']	[0, 5]	[2, 7]
6	2.625	0.0625	0.125	['G3', 'B3', 'D5']	['M3', 'P12', 'm10']	[0, 3, 7]	[7, 11, 2]
