17	1.5	0.25	0.5	['C3', 'A-3', 'B3', 'F4']	['m6', 'M7', 'P11', 'A2', 'M6', 'd5']	[0, 1, 4, 7]	[5, 8, 11, 0]
17	2.0	0.5	0.5	['C3', 'G3', 'C4', 'E4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
17	2.5	0.25	0.5	['C3', 'G3', 'C4', 'E4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
17	3.0	0.5	0.5	['C3', 'G3', 'B-3', 'E4']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[4, 7, 10, 0]
17	3.5	0.25	0.5	['C3', 'G3', 'B-3', 'E4']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[4, 7, 10, 0]
18	1.0	1.0	0.5	['D-3', 'F3', 'A-3', 'F4']	['M3', 'P5', 'M10', 'm3', 'P8', 'M6']	[0, 3, 7]	[1, 5, 8]
18	1.5	0.25	0.5	['D-3', 'B-3', 'F-4', 'G4']	['M6', 'm10', 'A11', 'd5', 'A2']	[0, 3, 6, 9]	[1, 4, 7, 10]
18	2.0	0.5	0.5	['C3', 'A-3', 'E-4', 'A-4']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[8, 0, 3]
18	2.5	0.25	0.5	['E-3', 'C4', 'G-4', 'A4']	['M6', 'm10', 'A11', 'd5', 'A2']	[0, 3, 6, 9]	[0, 3, 6, 9]
18	3.0	0.5	0.5	['D-3', 'B-3', 'F4', 'B-4']	['M6', 'M10', 'M13', 'P5', 'P8', 'P4']	[0, 3, 7]	[10, 1, 5]
18	3.5	0.25	0.5	['C3', 'A3', 'F4', 'C5']	['M6', 'P11', 'P15', 'm6', 'm10', 'P5']	[0, 3, 7]	[5, 9, 0]
19	1.0	1.0	0.5	['B-2', 'B-3', 'F4', 'D-5']	['P8', 'P12', 'm17', 'P5', 'm10', 'm6']	[0, 3, 7]	[10, 1, 5]
19	1.5	0.25	0.5	['B-2', 'B-3', 'F4', 'D-5']	['P8', 'P12', 'm17', 'P5', 'm10', 'm6']	[0, 3, 7]	[10, 1, 5]
19	2.0	0.5	0.5	['B-2', 'B-3', 'F4', 'D-5']	['P8', 'P12', 'm17', 'P5', 'm10', 'm6']	[0, 3, 7]	[10, 1, 5]
19	2.5	0.25	0.5	['B-2', 'B-3', 'F4', 'D-5']	['P8', 'P12', 'm17', 'P5', 'm10', 'm6']	[0, 3, 7]	[10, 1, 5]
19	3.0	0.5	0.5	['A-2', 'B-2', 'B-3', 'F4', 'D-5']	['M2', 'M9', 'M13', 'P18', 'P8', 'P12', 'm17', 'P5', 'm10', 'm6']	[0, 3, 5, 8]	[5, 8, 10, 1]
19	3.5	0.25	0.5	['A-2', 'B-2', 'B-3', 'F4', 'D-5']	['M2', 'M9', 'M13', 'P18', 'P8', 'P12', 'm17', 'P5', 'm10', 'm6']	[0, 3, 5, 8]	[5, 8, 10, 1]
20	1.0	1.0	0.5	['G2', 'B-2', 'B-3', 'E-4', 'D-5']	['m3', 'm10', 'm13', 'd19', 'P8', 'P11', 'm17', 'P4', 'm7']	[0, 2, 5, 8]	[7, 10, 1, 3]
20	1.5	0.25	0.5	['G3', 'B-3', 'E-4', 'D-5']	['m3', 'm6', 'd12', 'P4', 'm10', 'm7']	[0, 2, 5, 8]	[7, 10, 1, 3]
20	2.0	0.5	0.5	['A-3', 'B-3', 'F4', 'D-5', 'F5']	['M2', 'M6', 'P11', 'M13', 'P5', 'm10', 'P12', 'm6', 'P8', 'M3']	[0, 3, 5, 8]	[5, 8, 10, 1]
20	2.5	0.25	0.5	['A-3', 'B-3', 'F4', 'D-5', 'F5']	['M2', 'M6', 'P11', 'M13', 'P5', 'm10', 'P12', 'm6', 'P8', 'M3']	[0, 3, 5, 8]	[5, 8, 10, 1]
20	3.0	0.5	0.5	['A-3', 'B-3', 'F4', 'D-5', 'E-5']	['M2', 'M6', 'P11', 'P12', 'P5', 'm10', 'm6', 'm7']	[0, 2, 4, 7, 9]	[1, 3, 5, 8, 10]
20	3.5	0.25	0.5	['A-3', 'B-3', 'F4', 'D-5']	['M2', 'M6', 'P11', 'P5', 'm10', 'm6']	[0, 3, 5, 8]	[5, 8, 10, 1]
21	1.0	1.0	0.5	['G3', 'B-3', 'E-4', 'C5', 'D-5']	['m3', 'm6', 'P11', 'd12', 'P4', 'M9', 'm10', 'M6', 'm7', 'm2']	[0, 2, 3, 5, 8]	[7, 10, 0, 1, 3]
21	1.5	0.25	0.5	['G3', 'B-3', 'E-4', 'C5', 'D-5']	['m3', 'm6', 'P11', 'd12', 'P4', 'M9', 'm10', 'M6', 'm7', 'm2']	[0, 2, 3, 5, 8]	[7, 10, 0, 1, 3]
21	2.0	0.5	0.5	['G3', 'B-3', 'E-4', 'B-4', 'D-5']	['m3', 'm6', 'm10', 'd12', 'P4', 'P8', 'P5', 'm7']	[0, 2, 5, 8]	[7, 10, 1, 3]
21	2.5	0.25	0.5	['A-3', 'A-4', 'C5']	['P8', 'M10', 'M3']	[0, 4]	[8, 0]
21	3.0	0.5	0.5	['B-3', 'G4', 'D-5']	['M6', 'm10', 'd5']	[0, 3, 6]	[7, 10, 1]
21	3.5	0.25	0.5	['C4', 'G-4', 'E-5']	['d5', 'm10', 'M6']	[0, 3, 6]	[0, 3, 6]
22	1.0	1.0	0.5	['A-1', 'A-2', 'F4', 'A-4']	['P8', 'M20', 'P22', 'M13', 'P15', 'm3']	[0, 3]	[5, 8]
22	1.5	0.25	0.5	['A-1', 'A-2', 'E-4', 'G4', 'A-4']	['P8', 'P19', 'M21', 'P22', 'P12', 'M14', 'P15', 'M3', 'P4', 'm2']	[0, 1, 5]	[3, 7, 8]
22	2.0	0.5	0.5	['A-1', 'A-2', 'D4', 'F4', 'A-4']	['P8', 'A18', 'M20', 'P22', 'A11', 'M13', 'P15', 'm3', 'd5']	[0, 3, 6]	[2, 5, 8]
22	2.5	0.25	0.5	['A-1', 'A-2', 'D-4', 'F-4', 'G4', 'B-4']	['P8', 'P18', 'm20', 'M21', 'M23', 'P11', 'm13', 'M14', 'M16', 'm3', 'A4', 'M6', 'A2']	[0, 1, 3, 6, 9]	[7, 8, 10, 1, 4]
22	3.0	0.5	0.5	['A-1', 'A-2', 'C4', 'F-4', 'G4', 'C5']	['P8', 'M17', 'm20', 'M21', 'M24', 'M10', 'm13', 'M14', 'd4', 'P5', 'A2', 'A5', 'P4']	[0, 1, 4, 8]	[0, 4, 7, 8]
22	3.5	0.25	0.5	['A-1', 'A-2', 'B-3', 'F-4', 'G4', 'D-5']	['P8', 'M16', 'm20', 'M21', 'P25', 'M9', 'm13', 'M14', 'P18', 'd5', 'M6', 'm10', 'A2']	[0, 1, 3, 6, 9]	[7, 8, 10, 1, 4]
22	1.0	1.0	1.5	['A-1', 'A-2']	['P8']	[0]	[8]
23	1.0	1.0	1.0	['B-3', 'F-4', 'G4', 'D-5']	['d5', 'M6', 'm10', 'A2']	[0, 3, 6, 9]	[1, 4, 7, 10]
23	2.0	0.5	0.5	['C4', 'E-4', 'A-4', 'C5']	['m3', 'm6', 'P8', 'P4', 'M6', 'M3']	[0, 3, 7]	[8, 0, 3]
23	2.5	0.25	0.5	['A-3', 'E-4', 'C5']	['P5', 'M10', 'M6']	[0, 3, 7]	[8, 0, 3]
23	3.0	0.5	0.5	['F3', 'E-4', 'A-4']	['m7', 'm10', 'P4']	[0, 2, 5]	[3, 5, 8]
23	3.5	0.25	0.5	['G3', 'E-4', 'B-4']	['m6', 'm10', 'P5']	[0, 3, 7]	[3, 7, 10]
