19	2.0	0.5	0.5	['E2', 'B2', 'E3', 'E4', 'G#4']	['P5', 'P8', 'P15', 'M17', 'P4', 'P11', 'M13', 'M10', 'M3']	[0, 3, 7]	[4, 8, 11]
19	2.5	0.25	0.5	['E2', 'B2', 'E3', 'G#3', 'E4', 'G#4']	['P5', 'P8', 'M10', 'P15', 'M17', 'P4', 'M6', 'P11', 'M13', 'M3', 'm6']	[0, 3, 7]	[4, 8, 11]
20	1.0	1.0	0.5	['G2', 'B2', 'E3', 'B4']	['M3', 'M6', 'M17', 'P4', 'P15', 'P12']	[0, 3, 7]	[4, 7, 11]
20	1.5	0.25	0.5	['G2', 'B2', 'E3', 'G4', 'B4']	['M3', 'M6', 'P15', 'M17', 'P4', 'm13', 'm10', 'P12']	[0, 3, 7]	[4, 7, 11]
20	2.0	0.5	0.5	['G2', 'B2', 'E3', 'E4', 'G4']	['M3', 'M6', 'M13', 'P15', 'P4', 'P11', 'm13', 'P8', 'm10', 'm3']	[0, 3, 7]	[4, 7, 11]
20	2.5	0.25	0.5	['G2', 'B2', 'E3', 'G3', 'E4', 'G4']	['M3', 'M6', 'P8', 'M13', 'P15', 'P4', 'm6', 'P11', 'm13', 'm3', 'm10']	[0, 3, 7]	[4, 7, 11]
21	1.0	1.0	0.5	['B2', 'D3', 'F#4']	['m3', 'P12', 'M10']	[0, 3, 7]	[11, 2, 6]
21	1.5	0.25	0.5	['B2', 'D3', 'F#4']	['m3', 'P12', 'M10']	[0, 3, 7]	[11, 2, 6]
21	2.0	0.5	0.5	['B2', 'D3', 'D4', 'F#4']	['m3', 'm10', 'P12', 'P8', 'M10', 'M3']	[0, 3, 7]	[11, 2, 6]
21	2.5	0.25	0.25	['B2', 'D3', 'F#3', 'D4', 'F#4']	['m3', 'P5', 'm10', 'P12', 'M3', 'P8', 'M10', 'm6']	[0, 3, 7]	[11, 2, 6]
21	2.75	0.125	0.25	['B2', 'D3', 'F#3', 'D4', 'F#4']	['m3', 'P5', 'm10', 'P12', 'M3', 'P8', 'M10', 'm6']	[0, 3, 7]	[11, 2, 6]
22	1.0	1.0	0.5	['A2', 'D#3', 'F#4']	['A4', 'M13', 'm10']	[0, 3, 6]	[3, 6, 9]
22	1.5	0.25	0.5	['A2', 'D#3', 'F#4']	['A4', 'M13', 'm10']	[0, 3, 6]	[3, 6, 9]
22	2.0	0.5	0.5	['A2', 'D#3', 'C4', 'F#4']	['A4', 'm10', 'M13', 'd7']	[0, 3, 6, 9]	[0, 3, 6, 9]
22	2.5	0.25	0.5	['A2', 'D#3', 'F#3', 'C4', 'F#4']	['A4', 'M6', 'm10', 'M13', 'm3', 'd7', 'd5', 'P8']	[0, 3, 6, 9]	[0, 3, 6, 9]
23	1.0	1.0	0.5	['G2', 'E3']	['M6']	[0, 3]	[4, 7]
23	1.5	0.25	0.5	['G2', 'E3', 'B4']	['M6', 'M17', 'P12']	[0, 3, 7]	[4, 7, 11]
23	2.0	0.5	0.5	['G2', 'E3', 'E4', 'B4']	['M6', 'M13', 'M17', 'P8', 'P12', 'P5']	[0, 3, 7]	[4, 7, 11]
23	2.5	0.25	0.5	['G2', 'E3', 'B3', 'E4', 'B4']	['M6', 'M10', 'M13', 'M17', 'P5', 'P8', 'P12', 'P4']	[0, 3, 7]	[4, 7, 11]
24	1.0	1.0	0.5	['F#2', 'E#3', 'D5']	['M7', 'm20', 'd14']	[0, 1, 4]	[2, 5, 6]
24	1.5	0.25	0.5	['F#2', 'E#3', 'D5']	['M7', 'm20', 'd14']	[0, 1, 4]	[2, 5, 6]
24	2.0	0.5	0.5	['F#2', 'E#3', 'G#4', 'D5']	['M7', 'M16', 'm20', 'm10', 'd14', 'd5']	[0, 2, 3, 6]	[2, 5, 6, 8]
24	2.5	0.25	0.5	['F#2', 'E#3', 'D4', 'G#4', 'D5']	['M7', 'm13', 'M16', 'm20', 'd7', 'm10', 'd14', 'A4', 'P8', 'd5']	[0, 2, 3, 6]	[2, 5, 6, 8]
25	1.0	1.0	0.5	['F#2', 'F#3', 'D5']	['P8', 'm20', 'm13']	[0, 4]	[2, 6]
25	1.5	0.25	0.5	['F#2', 'F#3', 'C#4', 'C#5']	['P8', 'P12', 'P19', 'P5']	[0, 5]	[1, 6]
25	2.0	0.5	0.5	['F#2', 'F#3', 'A#4', 'C#5']	['P8', 'M17', 'P19', 'M10', 'P12', 'm3']	[0, 3, 7]	[6, 10, 1]
25	2.5	0.25	0.5	['F#2', 'F#3', 'F#4', 'A#4', 'C#5']	['P8', 'P15', 'M17', 'P19', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[6, 10, 1]
26	1.0	1.0	0.5	['E3', 'F#3', 'C#5']	['M2', 'M13', 'P12']	[0, 2, 5]	[1, 4, 6]
26	1.5	0.25	0.5	['E3', 'F#3', 'C#4', 'C#5']	['M2', 'M6', 'M13', 'P5', 'P12', 'P8']	[0, 2, 5]	[1, 4, 6]
