10	5/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'B4', 'F#5']	['P4', 'M6', 'P11', 'P15', 'M3', 'P8', 'P12', 'm6', 'm10', 'P5']	[0, 3, 7]	[11, 3, 6]
10	2.0	0.5	1/3	['F#3', 'B3', 'D#4', 'F#4', 'F#5']	['P4', 'M6', 'P8', 'P15', 'M3', 'P5', 'P12', 'm3', 'm10']	[0, 3, 7]	[11, 3, 6]
10	7/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'F#4', 'E5']	['P4', 'M6', 'P8', 'm14', 'M3', 'P5', 'P11', 'm3', 'm9', 'm7']	[0, 2, 3, 7]	[11, 3, 4, 6]
10	8/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'F#4', 'D#5']	['P4', 'M6', 'P8', 'M13', 'M3', 'P5', 'M10', 'm3']	[0, 3, 7]	[11, 3, 6]
10	3.0	0.5	1/3	['F#3', 'A#3', 'E4', 'F#4', 'C#5']	['M3', 'm7', 'P8', 'P12', 'd5', 'm6', 'm10', 'M2', 'M6', 'P5']	[0, 2, 5, 8]	[10, 1, 4, 6]
10	10/3	0.0625	1/3	['B3', 'E4', 'F#4', 'D#5']	['P4', 'P5', 'M10', 'M2', 'M7', 'M6']	[0, 2, 3, 7]	[11, 3, 4, 6]
10	11/3	0.0625	1/12	['A#3', 'E4', 'F#4', 'C#5']	['d5', 'm6', 'm10', 'M2', 'M6', 'P5']	[0, 2, 5, 8]	[10, 1, 4, 6]
10	3.75	0.125	0.25	['A#3', 'E4', 'F#4', 'C#5']	['d5', 'm6', 'm10', 'M2', 'M6', 'P5']	[0, 2, 5, 8]	[10, 1, 4, 6]
11	1.0	1.0	1/3	['F#2', 'B4', 'F#5']	['P18', 'P22', 'P5']	[0, 5]	[6, 11]
11	4/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'B4', 'F#5']	['P4', 'M6', 'P11', 'P15', 'M3', 'P8', 'P12', 'm6', 'm10', 'P5']	[0, 3, 7]	[11, 3, 6]
11	5/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'B4', 'F#5']	['P4', 'M6', 'P11', 'P15', 'M3', 'P8', 'P12', 'm6', 'm10', 'P5']	[0, 3, 7]	[11, 3, 6]
11	2.0	0.5	1/3	['F#3', 'B3', 'D#4', 'F#4', 'F#5']	['P4', 'M6', 'P8', 'P15', 'M3', 'P5', 'P12', 'm3', 'm10']	[0, 3, 7]	[11, 3, 6]
11	7/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'F#4', 'E5']	['P4', 'M6', 'P8', 'm14', 'M3', 'P5', 'P11', 'm3', 'm9', 'm7']	[0, 2, 3, 7]	[11, 3, 4, 6]
11	8/3	0.0625	1/3	['F#3', 'B3', 'D#4', 'F#4', 'D#5']	['P4', 'M6', 'P8', 'M13', 'M3', 'P5', 'M10', 'm3']	[0, 3, 7]	[11, 3, 6]
11	3.0	0.5	1/3	['F#3', 'A#3', 'E4', 'F#4', 'C#5']	['M3', 'm7', 'P8', 'P12', 'd5', 'm6', 'm10', 'M2', 'M6', 'P5']	[0, 2, 5, 8]	[10, 1, 4, 6]
11	10/3	0.0625	1/6	['B3', 'E4', 'F#4', 'D#5']	['P4', 'P5', 'M10', 'M2', 'M7', 'M6']	[0, 2, 3, 7]	[11, 3, 4, 6]
11	3.5	0.25	1/6	['B3', 'E4', 'F#4', 'D#5']	['P4', 'P5', 'M10', 'M2', 'M7', 'M6']	[0, 2, 3, 7]	[11, 3, 4, 6]
11	11/3	0.0625	1/3	['A#3', 'E4', 'F#4', 'C#5']	['d5', 'm6', 'm10', 'M2', 'M6', 'P5']	[0, 2, 5, 8]	[10, 1, 4, 6]
12	1.0	1.0	1/3	['B2', 'B4', 'F#5']	['P15', 'P19', 'P5']	[0, 5]	[6, 11]
12	4/3	0.0625	1/3	['B3', 'D#4', 'F#4', 'B4', 'F#5']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[11, 3, 6]
12	5/3	0.0625	1/3	['B3', 'D#4', 'F#4', 'B4', 'F#5']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[11, 3, 6]
12	2.0	0.5	1/3	['B3', 'D#4', 'F#4', 'B4', 'F#5']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[11, 3, 6]
12	7/3	0.0625	1/3	['F#4', 'G#4', 'B4', 'E5']	['M2', 'P4', 'm7', 'm3', 'm6']	[0, 2, 4, 7]	[4, 6, 8, 11]
12	8/3	0.0625	1/3	['F#4', 'B4', 'D#5']	['P4', 'M6', 'M3']	[0, 3, 7]	[11, 3, 6]
12	3.0	0.5	1/3	['E4', 'C#5']	['M6']	[0, 3]	[1, 4]
12	10/3	0.0625	1/3	['F#4', 'D#5']	['M6']	[0, 3]	[3, 6]
12	11/3	0.0625	1/3	['D#4', 'B4']	['m6']	[0, 4]	[11, 3]
13	1.0	1.0	0.5	['A2', 'A3', 'E4', 'A4', 'C5']	['P8', 'P12', 'P15', 'm17', 'P5', 'm10', 'P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
13	1.5	0.25	0.5	['D#4', 'B4']	['m6']	[0, 4]	[11, 3]
13	2.0	0.5	0.5	['E4', 'A4', 'C5', 'D5']	['P4', 'm6', 'm7', 'm3', 'M2']	[0, 2, 4, 7]	[9, 0, 2, 4]
13	2.5	0.25	0.5	['D#4', 'B4']	['m6']	[0, 4]	[11, 3]
13	3.0	0.5	0.5	['E4', 'A4', 'C5']	['P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
13	3.5	0.25	0.5	['C#5']	[]	[0]	[1]
14	1.0	1.0	1/3	['D2', 'D3', 'A4', 'D5', 'E5', 'F#5', 'C6']	['P8', 'P19', 'P22', 'M23', 'M24', 'm28', 'P12', 'P15', 'M16', 'M17', 'm21', 'P4', 'P5', 'M6', 'm10', 'M2', 'M3', 'm7', 'm6', 'd5']	[0, 2, 4, 6, 9]	[0, 2, 4, 6, 9]
14	4/3	0.0625	1/3	['D4', 'A4', 'C5', 'E5', 'B5']	['P5', 'm7', 'M9', 'M13', 'm3', 'M3', 'M7']	[0, 2, 3, 5, 7]	[9, 11, 0, 2, 4]
14	5/3	0.0625	1/3	['D4', 'A4', 'C5', 'E5', 'A5']	['P5', 'm7', 'M9', 'P12', 'm3', 'P8', 'M3', 'M6', 'P4']	[0, 2, 4, 7]	[9, 0, 2, 4]
14	2.0	0.5	1/3	['D4', 'A4', 'C5', 'D5', 'G5']	['P5', 'm7', 'P8', 'P11', 'm3', 'P4', 'M2']	[0, 2, 5, 7]	[7, 9, 0, 2]
14	7/3	0.0625	1/3	['D4', 'A4', 'C5', 'D5', 'F#5']	['P5', 'm7', 'P8', 'M10', 'm3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[6, 9, 0, 2]
14	8/3	0.0625	1/3	['D4', 'A4', 'C5', 'D5', 'E5']	['P5', 'm7', 'P8', 'M9', 'm3', 'P4', 'M2', 'M3']	[0, 2, 4, 7]	[9, 0, 2, 4]
14	3.0	0.5	1/3	['D4', 'F#4', 'A4', 'D5']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[2, 6, 9]
14	10/3	0.0625	1/3	['D4', 'F#4', 'A4', 'C5']	['M3', 'P5', 'm7', 'm3', 'd5']	[0, 2, 5, 8]	[6, 9, 0, 2]
14	11/3	0.0625	1/3	['D4', 'F#4', 'A4', 'B4']	['M3', 'P5', 'M6', 'm3', 'P4', 'M2']	[0, 3, 5, 8]	[6, 9, 11, 2]
15	1.0	1.0	0.5	['A2', 'A3', 'E4', 'A4', 'C5']	['P8', 'P12', 'P15', 'm17', 'P5', 'm10', 'P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
15	1.5	0.25	0.5	['D#4', 'B4']	['m6']	[0, 4]	[11, 3]
15	2.0	0.5	0.5	['E4', 'A4', 'C5', 'D5']	['P4', 'm6', 'm7', 'm3', 'M2']	[0, 2, 4, 7]	[9, 0, 2, 4]
15	2.5	0.25	0.5	['D#4', 'B4']	['m6']	[0, 4]	[11, 3]
15	3.0	0.5	0.5	['E4', 'A4', 'C5']	['P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
15	3.5	0.25	0.5	['C#5']	[]	[0]	[1]
16	1.0	1.0	1/3	['D2', 'D3', 'A4', 'D5', 'E5', 'F#5', 'C6']	['P8', 'P19', 'P22', 'M23', 'M24', 'm28', 'P12', 'P15', 'M16', 'M17', 'm21', 'P4', 'P5', 'M6', 'm10', 'M2', 'M3', 'm7', 'm6', 'd5']	[0, 2, 4, 6, 9]	[0, 2, 4, 6, 9]
16	4/3	0.0625	1/3	['D4', 'A4', 'C5', 'E5', 'B5']	['P5', 'm7', 'M9', 'M13', 'm3', 'M3', 'M7']	[0, 2, 3, 5, 7]	[9, 11, 0, 2, 4]
16	5/3	0.0625	1/3	['D4', 'A4', 'C5', 'E5', 'A5']	['P5', 'm7', 'M9', 'P12', 'm3', 'P8', 'M3', 'M6', 'P4']	[0, 2, 4, 7]	[9, 0, 2, 4]
16	2.0	0.5	1/3	['D4', 'A4', 'C5', 'D5', 'G5']	['P5', 'm7', 'P8', 'P11', 'm3', 'P4', 'M2']	[0, 2, 5, 7]	[7, 9, 0, 2]
16	7/3	0.0625	1/3	['D4', 'A4', 'C5', 'D5', 'F#5']	['P5', 'm7', 'P8', 'M10', 'm3', 'P4', 'M6', 'M2', 'A4', 'M3']	[0, 2, 5, 8]	[6, 9, 0, 2]
16	8/3	0.0625	1/3	['D4', 'A4', 'C5', 'D5', 'E5']	['P5', 'm7', 'P8', 'M9', 'm3', 'P4', 'M2', 'M3']	[0, 2, 4, 7]	[9, 0, 2, 4]
16	3.0	0.5	1/3	['C3', 'C4', 'D5']	['P8', 'M16', 'M9']	[0, 2]	[0, 2]
16	10/3	0.0625	1/6	['C3', 'C4', 'D4', 'F#4', 'C5', 'D5']	['P8', 'M9', 'A11', 'P15', 'M16', 'M2', 'A4', 'M3', 'm7', 'd5', 'm6']	[0, 2, 6]	[0, 2, 6]
16	3.5	0.25	1/6	['C3', 'C4', 'D4', 'F#4', 'C5', 'D5']	['P8', 'M9', 'A11', 'P15', 'M16', 'M2', 'A4', 'M3', 'm7', 'd5', 'm6']	[0, 2, 6]	[0, 2, 6]
16	11/3	0.0625	1/3	['C3', 'C4', 'D4', 'F#4', 'A4', 'D5']	['P8', 'M9', 'A11', 'M13', 'M16', 'M2', 'A4', 'M6', 'M3', 'P5', 'm3', 'm6', 'P4']	[0, 2, 5, 8]	[6, 9, 0, 2]
17	1.0	1.0	1/3	['B2', 'B3', 'G5']	['P8', 'm20', 'm13']	[0, 4]	[7, 11]
17	4/3	0.0625	1/3	['B2', 'B3', 'D4', 'G4', 'D5', 'G5']	['P8', 'm10', 'm13', 'm17', 'm20', 'm3', 'm6', 'P4', 'P11', 'P5']	[0, 3, 7]	[7, 11, 2]
17	5/3	0.0625	1/3	['B2', 'B3', 'D4', 'G4', 'D5', 'G5']	['P8', 'm10', 'm13', 'm17', 'm20', 'm3', 'm6', 'P4', 'P11', 'P5']	[0, 3, 7]	[7, 11, 2]
17	2.0	0.5	1/3	['B2', 'B3', 'D4', 'G4', 'D5', 'G5']	['P8', 'm10', 'm13', 'm17', 'm20', 'm3', 'm6', 'P4', 'P11', 'P5']	[0, 3, 7]	[7, 11, 2]
