1	3.0	0.5	1.0	['A4']	[]	[0]	[9]
10	1.0	1.0	1.0	['E2', 'E3', 'E4', 'G#4', 'B4', 'E5']	['P8', 'P15', 'M17', 'P19', 'P22', 'M10', 'P12', 'M3', 'P5', 'm3', 'm6', 'P4']	[0, 3, 7]	[4, 8, 11]
10	2.0	0.5	2.0	['A2', 'E3', 'E4', 'A4', 'C5', 'E5']	['P5', 'P12', 'P15', 'm17', 'P19', 'P8', 'P11', 'm13', 'P4', 'm6', 'm3', 'M3']	[0, 3, 7]	[9, 0, 4]
11	1.0	1.0	2.0	['A3', 'E4', 'A4', 'C5']	['P5', 'P8', 'm10', 'P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
11	3.0	0.5	0.5	['A3', 'F4', 'A4', 'D5']	['m6', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 3, 7]	[2, 5, 9]
11	3.5	0.25	0.5	['A3', 'F4', 'A4', 'D5']	['m6', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 3, 7]	[2, 5, 9]
12	1.0	1.0	0.5	['A3', 'C#4', 'A4', 'C#5', 'E5']	['M3', 'P8', 'M10', 'P12', 'm6', 'm10', 'P5', 'm3']	[0, 3, 7]	[9, 1, 4]
12	1.5	0.25	0.5	['A3', 'C#4', 'A4', 'C#5', 'E5']	['M3', 'P8', 'M10', 'P12', 'm6', 'm10', 'P5', 'm3']	[0, 3, 7]	[9, 1, 4]
12	2.0	0.5	2.0	['A3', 'E4', 'A4', 'C#5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[9, 1, 4]
13	1.0	1.0	2.0	['A3', 'E4', 'A4', 'C5']	['P5', 'P8', 'm10', 'P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
13	3.0	0.5	0.5	['A3', 'F4', 'A4', 'D5']	['m6', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 3, 7]	[2, 5, 9]
13	3.5	0.25	0.5	['A3', 'F4', 'A4', 'D5']	['m6', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 3, 7]	[2, 5, 9]
14	1.0	1.0	0.5	['A3', 'C#4', 'A4', 'C#5', 'E5']	['M3', 'P8', 'M10', 'P12', 'm6', 'm10', 'P5', 'm3']	[0, 3, 7]	[9, 1, 4]
14	1.5	0.25	0.5	['A3', 'C#4', 'A4', 'C#5', 'E5']	['M3', 'P8', 'M10', 'P12', 'm6', 'm10', 'P5', 'm3']	[0, 3, 7]	[9, 1, 4]
14	2.0	0.5	2.0	['A3', 'E4', 'A4', 'C#5']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[9, 1, 4]
15	1.0	1.0	1.0	['A3', 'E4', 'A4', 'C5']	['P5', 'P8', 'm10', 'P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
15	2.0	0.5	1.0	['A2', 'E4', 'A4', 'C5']	['P12', 'P15', 'm17', 'P4', 'm6', 'm3']	[0, 3, 7]	[9, 0, 4]
15	3.0	0.5	0.5	['B2', 'D4', 'G4', 'B4']	['m10', 'm13', 'P15', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
15	3.5	0.25	0.5	['B2', 'D4', 'G4', 'B4']	['m10', 'm13', 'P15', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
16	1.0	1.0	0.5	['F2', 'C3', 'C4', 'F4', 'A4']	['P5', 'P12', 'P15', 'M17', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[5, 9, 0]
16	1.5	0.25	0.5	['F2', 'C3', 'C4', 'F4', 'A4']	['P5', 'P12', 'P15', 'M17', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[5, 9, 0]
16	2.0	0.5	1.0	['C2', 'G2', 'C3', 'C4', 'E4']	['P5', 'P8', 'P15', 'M17', 'P4', 'P11', 'M13', 'M10', 'M3']	[0, 3, 7]	[0, 4, 7]
16	3.0	0.5	1.0	['C2', 'G2', 'C3', 'C4', 'E4']	['P5', 'P8', 'P15', 'M17', 'P4', 'P11', 'M13', 'M10', 'M3']	[0, 3, 7]	[0, 4, 7]
17	1.0	1.0	1.0	['D2', 'A2', 'D4', 'F4']	['P5', 'P15', 'm17', 'P11', 'm13', 'm3']	[0, 3, 7]	[2, 5, 9]
17	2.0	0.5	1.0	['E2', 'G2', 'C4', 'G4']	['m3', 'm13', 'm17', 'P11', 'P15', 'P5']	[0, 3, 7]	[0, 4, 7]
17	3.0	0.5	1.0	['F2', 'B3', 'A4']	['A11', 'M17', 'm7']	[0, 2, 6]	[5, 9, 11]
18	1.0	1.0	1.0	['E2', 'G#2', 'B3', 'E4']	['M3', 'P12', 'P15', 'm10', 'm13', 'P4']	[0, 3, 7]	[4, 8, 11]
18	2.0	0.5	2.0	['E2', 'A2', 'C4', 'E4']	['P4', 'm13', 'P15', 'm10', 'P12', 'M3']	[0, 3, 7]	[9, 0, 4]
19	1.0	1.0	1.0	['E2', 'E4', 'G#4', 'B4', 'E5']	['P15', 'M17', 'P19', 'P22', 'M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[4, 8, 11]
19	2.0	0.5	2.0	['A1', 'E2', 'A2', 'E4', 'A4', 'C5', 'E5']	['P5', 'P8', 'P19', 'P22', 'm24', 'P26', 'P4', 'P15', 'P18', 'm20', 'P12', 'm17', 'm6', 'm3', 'M3']	[0, 3, 7]	[9, 0, 4]
