25	1.5	0.25	0.5	['E3', 'C#4', 'G4', 'A4']	['M6', 'm10', 'P11', 'd5', 'm6', 'M2']	[0, 2, 5, 8]	[1, 4, 7, 9]
25	2.0	0.5	0.5	['D3', 'D4', 'F#4', 'A4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[2, 6, 9]
25	2.5	0.25	0.25	['D3', 'D4', 'G4', 'B4']	['P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
25	2.75	0.125	0.25	['D3', 'D4', 'A4', 'C5']	['P8', 'P12', 'm14', 'P5', 'm7', 'm3']	[0, 2, 5]	[9, 0, 2]
26	1.0	1.0	0.5	['D3', 'D4', 'B4', 'D5']	['P8', 'M13', 'P15', 'M6', 'm3']	[0, 3]	[11, 2]
26	1.5	0.25	0.5	['E3', 'C4', 'G4', 'C5']	['m6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 3, 7]	[0, 4, 7]
26	2.0	0.5	0.5	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
26	2.5	0.25	0.5	['D3', 'D4', 'F#4', 'A4']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[2, 6, 9]
27	1.0	1.0	0.5	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
27	1.5	0.25	0.5	['G3', 'D4', 'G4', 'B4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[7, 11, 2]
27	2.0	0.5	0.5	['F#3', 'D#4', 'A4', 'B4']	['M6', 'm10', 'P11', 'd5', 'm6', 'M2']	[0, 2, 5, 8]	[3, 6, 9, 11]
27	2.5	0.25	0.25	['B2', 'A3', 'F#4', 'B4', 'D#5']	['m7', 'P12', 'P15', 'M17', 'M6', 'M9', 'A11', 'P4', 'M3']	[0, 2, 5, 8]	[3, 6, 9, 11]
27	2.75	0.125	0.25	['B2', 'A3', 'F#4', 'B4', 'D#5']	['m7', 'P12', 'P15', 'M17', 'M6', 'M9', 'A11', 'P4', 'M3']	[0, 2, 5, 8]	[3, 6, 9, 11]
28	1.0	1.0	0.75	['C3', 'G3', 'E4', 'E5']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[0, 4, 7]
28	1.75	0.125	0.25	['C3', 'G3', 'E4', 'E5']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[0, 4, 7]
28	2.0	0.5	0.5	['C3', 'G3', 'E4', 'E5']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[0, 4, 7]
