9	1.0	1.0	0.25	['D3', 'D4', 'A4']	['P8', 'P12', 'P5']	[0, 5]	[9, 2]
9	7/6	0.125	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
9	4/3	0.25	0.25	['D3', 'A4']	['P12']	[0, 5]	[9, 2]
9	1.5	0.125	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
9	5/3	0.25	0.25	['D3', 'D4', 'F#4']	['P8', 'M10', 'M3']	[0, 4]	[2, 6]
9	11/6	0.125	0.25	['D3', 'F#4']	['M10']	[0, 4]	[2, 6]
9	2.0	0.5	0.25	['D3', 'D4', 'D5']	['P8', 'P15']	[0]	[2]
9	13/6	0.125	0.25	['D3', 'F#4', 'D5']	['M10', 'P15', 'm6']	[0, 4]	[2, 6]
9	7/3	0.25	0.25	['D3', 'A4', 'D5']	['P12', 'P15', 'P4']	[0, 5]	[9, 2]
9	2.5	0.125	0.25	['D3', 'F#4', 'D5']	['M10', 'P15', 'm6']	[0, 4]	[2, 6]
9	8/3	0.25	0.25	['D3', 'D4', 'A4']	['P8', 'P12', 'P5']	[0, 5]	[9, 2]
9	17/6	0.125	0.25	['D3', 'F#4', 'A4']	['M10', 'P12', 'm3']	[0, 3, 7]	[2, 6, 9]
10	1.0	1.0	0.25	['D3', 'D4', 'F#5']	['P8', 'M17', 'M10']	[0, 4]	[2, 6]
10	7/6	0.125	0.25	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
10	4/3	0.25	0.25	['D3', 'A4', 'F#5']	['P12', 'M17', 'M6']	[0, 3, 7]	[2, 6, 9]
10	1.5	0.125	0.25	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
10	5/3	0.25	0.25	['D3', 'D4', 'F#5']	['P8', 'M17', 'M10']	[0, 4]	[2, 6]
10	11/6	0.125	0.25	['D3', 'F#4', 'F#5']	['M10', 'M17', 'P8']	[0, 4]	[2, 6]
10	2.0	0.5	0.25	['A2', 'G4', 'E5']	['m14', 'P19', 'M6']	[0, 2, 5]	[4, 7, 9]
10	13/6	0.125	0.25	['A2', 'A4', 'E5']	['P15', 'P19', 'P5']	[0, 5]	[4, 9]
10	7/3	0.25	0.25	['A2', 'C#5', 'D5']	['M17', 'P18', 'm2']	[0, 1, 5]	[9, 1, 2]
10	2.5	0.125	0.25	['A2', 'A4', 'D5']	['P15', 'P18', 'P4']	[0, 5]	[9, 2]
10	8/3	0.25	0.25	['A2', 'G4', 'E5']	['m14', 'P19', 'M6']	[0, 2, 5]	[4, 7, 9]
10	17/6	0.125	0.25	['A2', 'A4', 'E5']	['P15', 'P19', 'P5']	[0, 5]	[4, 9]
11	1.0	1.0	0.25	['D3', 'F#4', 'D5']	['M10', 'P15', 'm6']	[0, 4]	[2, 6]
11	7/6	0.125	0.25	['D3', 'D5']	['P15']	[0]	[2]
11	4/3	0.25	0.25	['D3', 'A4', 'D5']	['P12', 'P15', 'P4']	[0, 5]	[9, 2]
11	1.5	0.125	0.25	['D3', 'F#4', 'D5']	['M10', 'P15', 'm6']	[0, 4]	[2, 6]
11	5/3	0.25	0.25	['D4', 'D5']	['P8']	[0]	[2]
11	11/6	0.125	0.25	['D3', 'D5']	['P15']	[0]	[2]
11	2.0	0.5	0.5	['D2']	[]	[0]	[2]
11	7/3	0.25	0.5	['F#4']	[]	[0]	[6]
11	8/3	0.25	0.5	['G4']	[]	[0]	[7]
