Composer,Collection,Song,Length,Measures
Hugo Wolf,Eichendorff-Lieder,Der Scholar,2.417,"[4, 8, 19, 35, 36]"
Josephine Lang,6 Lieder -  Op.10,Scheideblick,2.333,"[1, 2, 3, 4, 21, 23]"
Hugo Wolf,Eichendorff-Lieder,Der Glücksritter,2.25,"[52, 60, 65, 69]"
Franz Schubert,Winterreise -  D.911,Der greise Kopf,2.167,"[14, 37]"
Robert Schumann,Dichterliebe -  Op.48,Ich grolle nicht,2,[28]
Fanny (Mendelssohn) Hensel,6 Lieder -  Op.9,Die Mainacht,2,"[9, 12, 13]"
Robert Schumann,Liederkreis -  Op.39,Auf einer Burg,2,"[16, 37]"
Franz Schubert,Schwanengesang,Ständchen,2,"[17, 23]"
Robert Schumann,Frauenliebe und Leben -  Op.42,Seit ich ihn gesehen,2,"[15, 31]"
Franz Schubert,Vier Gesänge aus 'Wilhelm Meister' (D.877) -  Op.62,Mignon und der Harfner,2,"[7, 11, 12, 40, 44, 45]"
Franz Schubert,Op.59 -  D.756,Du liebst mich nicht,2,"[21, 25]"
Ludwig van Beethoven,6 Lieder -  Op.48,Vom Tode,2,[13]
Ernest Chausson,7 Mélodies -  Op.2,Le Charme,2,[25]
Johannes Brahms,5 Lieder,Liebesglut,1.667,"[15, 17, 18, 71]"
Hugo Wolf,Eichendorff-Lieder,Der Freund,1.667,"[8, 28, 29, 31]"
Robert Schumann,Frauenliebe und Leben -  Op.42,Süsser Freund -  du blickest,1.5,"[25, 26]"
Robert Schumann,Liederkreis -  Op.39,Mondnacht,1.5,[50]
Richard Wagner,5 Gedichte für eine Frauenstimme (Wesendonck-Lieder),Der Engel,1.5,"[9, 18, 26]"
Hugo Wolf,Eichendorff-Lieder,Erwartung,1.5,"[37, 50, 65]"
Franz Schubert,Winterreise -  D.911,Letzte Hoffnung,1.5,"[35, 39]"
Augusta Holmès,Les Heures,L'Heure d'Azur,1.5,"[45, 47]"
Franz Schubert,Winterreise -  D.911,Das Wirtshaus,1.5,"[20, 21, 24]"
Fanny (Mendelssohn) Hensel,6 Lieder,Die Ersehnte,1.5,"[7, 11]"
Fanny (Mendelssohn) Hensel,6 Lieder -  Op.1,Gondellied,1.5,"[6, 19, 23]"
Johannes Brahms,9 Lieder und Gesänge -  Op.63,An die Tauben,1.333,"[46, 47, 56]"
Johannes Brahms,8 Lieder und Gesänge -  Op.57,Ach -  wende diesen Blick,1.333,"[9, 11, 37, 39]"
Robert Schumann,Dichterliebe -  Op.48,Hör' ich das Liedchen klingen,1.25,"[16, 20, 22, 24, 26]"
Hugo Wolf,Eichendorff-Lieder,Waldmädchen,1.042,"[18, 68, 70, 111]"
Robert Schumann,Frauenliebe und -leben -  Op.42,Du Ring an meinem Finger,1,"[17, 44]"
Hugo Wolf,Eichendorff-Lieder,Heimweh,1,"[40, 41]"
Robert Schumann,Liederkreis,Zwielicht,1,"[15, 23]"
Franz Schubert,Winterreise -  D.911,Frühlingstraum,1,"[41, 85]"
Franz Schubert,Winterreise -  D.911,Erstarrung,1,"[8, 65, 102]"
Hugo Wolf,Eichendorff-Lieder,Der verzweifelte Liebhaber,1,"[2, 32]"
Franz Schubert,Winterreise -  D.911,Rückblick,1,"[40, 44]"
Robert Franz,6 Gesänge -  Op.14,Widmung,1,"[4, 18]"
Franz Schubert,Die schöne Müllerin,Der Jäger,1,"[15, 17]"
Fanny (Mendelssohn) Hensel,5 Lieder -  Op.10,Im Herbste,1,[38]
Robert Schumann,Liederkreis -  Op.39,Intermezzo,1,"[5, 7]"
Peter Cornelius,6 Lieder -  Op.1,Denkst du an mich?,1,[11]
Robert Schumann,Dichterliebe -  Op.48,Ich hab' im Traum geweinet,1,"[8, 19]"
Franz Schubert,Die schöne Müllerin,Eifersucht und Stolz,1,"[77, 83]"
Robert Schumann,Frauenliebe und Leben -  Op.42,Nun hast du mir den ersten Schmerz getan,1,[38]
Fanny (Mendelssohn) Hensel,6 Lieder -  Op.9,Ferne,1,"[5, 16]"
Franz Schubert,Die schöne Müllerin (D.795),Pause,1,"[35, 38]"
Louise Reichardt,Sechs Lieder von Novalis -  Op.4,Bergmannslied,1,[16]
Franz Schubert,Winterreise -  D.911,Die Krähe,0.75,"[16, 17, 20, 21]"
Franz Schubert,Die schöne Müllerin,Halt!,0.75,"[45, 49, 53]"
Franz Schubert,Die schöne Müllerin (D.795),Ungeduld,0.667,"[2, 5]"
Josephine Lang,Sechs Lieder -  Op.25,Barcarole,0.667,"[5, 9]"
Franz Schubert,Schwanengesang,Die Taubenpost,0.5,"[13, 59]"
Robert Schumann,Frauenliebe und Leben -  Op.42,Helft mir -  ihr Schwestern,0.5,[43]
Robert Schumann,Dichterliebe -  Op.48,Im Rhein -  im heiligen Strome,0.5,[29]
Franz Schubert,Schwanengesang,Der Atlas,0.5,[28]
Fanny (Mendelssohn) Hensel,6 Lieder -  Op.1,Warum sind denn die Rosen so blass?,0.5,"[6, 23]"
Louise Reichardt,Zwölf Deutsche und Italiänische Romantische Gesänge,Poesie von Tieck,0.5,"[14, 31]"
Fanny (Mendelssohn) Hensel,6 Lieder -  Op.1,Schwanenlied,0.5,"[8, 34]"
Franz Schubert,Die schöne Müllerin (D.795),Mein!,0.5,[45]
Franz Schubert,Winterreise -  D.911,Die Post,0.5,[35]
Louise Reichardt,Sechs Lieder von Novalis,Sehnsucht nach dem Vaterlande,0.5,[13]
Hugo Wolf,Eichendorff-Lieder,Der Soldat II,0.5,[11]
Franz Schubert,Vier Gesänge aus 'Wilhelm Meister' -  D.877,Lied der Mignon (Heiss mich nicht reden),0.5,[28]
Franz Schubert,Winterreise -  D.911,Irrlicht,0.5,"[9, 21]"
Johannes Brahms,6 Songs,Liebe und Frühling,0.5,[23]
Peter Cornelius,6 Lieder -  Op.1,Untreu,0.5,[10]
Hugo Wolf,Eichendorff-Lieder,Die Nacht,0.5,"[8, 19]"
Robert Schumann,Dichterliebe -  Op.48,Das ist ein Flöten und Geigen,0.5,"[29, 63]"
Johannes Brahms,8 Lieder und Gesänge -  Op.57,Es träumte mir,0.5,[10]
Robert Schumann,Frauenliebe und Leben -  Op.42,Er -  der Herrlichste von allen,0.5,[23]
Franz Schubert,Vier Gesänge aus 'Wilhelm Meister' (D.877) -  Op.62,Lied der Mignon (So lasst mich scheinen),0.5,"[21, 23]"
Clara Schumann,6 Lieder -  Op.23,Geheimes Flüstern hier und dort,0.5,"[34, 36]"
Fanny (Mendelssohn) Hensel,6 Lieder -  Op.1,Mayenlied,0.333,[38]
Franz Schubert,Schwanengesang,Frühlingssehnsucht,0.333,[76]
Franz Schubert,Die schöne Müllerin (D.795),Am Feierabend,0.25,[61]
Robert Franz,6 Gesänge -  Op. 14,Liebesfrühling,0.25,[18]
Robert Schumann,Dichterliebe -  Op.48,Ich will meine Seele tauchen,0.25,[19]
Hugo Wolf,Eichendorff-Lieder,Unfall,0.25,[25]
Johannes Brahms,8 Lieder and Songs -  Op.59,Eine gute -  gute Nacht,0.25,[17]
Johannes Brahms,5 Lieder -  Op.49,Abenddämmerung,0.25,[25]
Franz Schubert,Vier Gesänge aus 'Wilhelm Meister' (D.877) -  Op.62,Lied der Mignon (Nur wer die Sehnsucht kennt),0.25,[40]
Franz Schubert,Schwanengesang -  D.957,Liebesbotschaft,0.125,[45]
Franz Schubert,Die schöne Müllerin,Wohin?,0.083,[48]
