Title,Artist,Measure Numbers
I'll Never Smile Again,Ruth Lowe,"[10, 12, 31]"
I'll Never Stop Loving You,Nicholas Brodszky,[28]
I'm Alone Because I Love You,Joe Young,"[3, 11, 27]"
I'm Always Chasing Rainbows,Harry Carroll,[19]
I'm Crying Just For You ,James V. Monaco,[23]
I'm Getting Sentimental Over You,George Bassman,[17]
I'm In the Mood for Love,"Dorothy Fields, Jimmy McHugh",[8]
I've Grown Accustomed To Her Face,Fredrick Loewe,"[15, 17, 17]"
I've Heard That Song Before,Jule Styne,"[12, 26]"
If I Didn't Care,Jack Lawrence,"[2, 4, 18, 20]"
If I Should Lose You,Ralph Rainger,"[1, 3, 17, 19, 33]"
If My Friends Could See Me Now,Cy Coleman,[26]
If only,Les Kettley,"[27, 34]"
In Apple Blossom Time,Albert Von Tilzer,"[3, 5, 15, 23]"
In The Still Of The Night,Cole  Porter,[42]
Innamorata (Sweetheart),Harry Warren,[14]
Isn't It Romantic?,Richard Rodgers,"[4, 9, 12, 20, 25]"
It Ain't What You Do (It's The Way That You Do It),James Young,"[9, 27]"
It Had Better Be Tonight (Meglio Stasera),Henry Mancini,[46]
It Had To Be You,Isham Jones,"[1, 17, 18, 33]"
It's You Or No One,Jule Styne,[12]
Johnson Rag,"Guy Hall, Henry Kleinkauf","[3, 9, 11, 19, 25, 27]"
Juke Box Saturday Night,Paul McGrane,"[7, 15, 19, 31]"
June Night,Abel Baer,"[6, 16, 18, 34, 48]"
Just A Gigolo,Leonello Casucci,[7]
Just One More Chance,Arthur Johnston,"[2, 10, 15, 26, 31]"
Last Night When We Were Young,Harold Arlen,"[11, 14]"
Lazy River,"Hoagy Carmichael, Sidney Arodin","[2, 10]"
Let Me Call You Sweetheart,Leo Friedman,[28]
Let There Be You,Dave Cavanaugh,"[3, 11, 27]"
Let's Have An Old Fashioned Christmas,Joe Solomon,[14]
Let's Misbehave,Cole Porter,"[3, 11, 27]"
Life Is So Peculiar,James Van Heusen,"[1, 2, 4, 9, 17, 18, 20, 25]"
Londonderry Air (Would God I Were The Tender Apple Blossom),Traditional Irish,[16]
Louise,Richard A. Whiting,"[1, 2, 9, 10, 25, 26]"
Love Is A Many Splendored Thing,Sammy Fain,[26]
Love Walked In,George Gershwin,"[10, 12, 13, 26]"
Lucky to Be Me,Leonard Bernstein,[21]
Lullaby In Ragtime,Sylvia Fine,"[9, 17, 25]"
M-O-T-H-E-R,Theodore F.Morse,"[11, 23]"
Magic Is The Moonlight,Maria Grever,[19]
Mairzy Doats,"Al Hoffman, Jerry Livingston, Milton Drake",[24]
Margie,"Con Conrad, J Rusell Robinson","[20, 36]"
Mary Lou,J. Russel Robinson,[12]
Meet Me Tonight In Dreamland,Leo Friedman,"[22, 48]"
Mele Kalikimaka,R. Alex Anderson,[28]
"Merry, Merry Christmas To You",Johnny Marks,[38]
Mister Santa,Pat Ballard,"[6, 7, 8, 22, 23, 24]"
Moments Like This,"Burton Lane, Frank Loesser","[2, 4, 6, 18, 20, 22]"
Moments To Remember,Robert Allen,"[4, 12, 28]"
Moondance,Van Morrison,"[25, 33]"
My Gal Sal,Paul Dresser,[30]
My Heart Belongs To Daddy,Cole Porter,[9]
My Heart Stood Still,Richard Rodgers,"[3, 5, 11, 13, 19, 27]"
My Ideal,"Richard Whiting, Newell Chase","[5, 6, 12]"
"My Love, Forgive Me",Gino Mescoli,"[7, 23, 39]"
My Own True Love,Max Steiner,"[6, 14, 30]"
My Silent Love,Dana Suesse,"[2, 8, 10, 26]"
My Wild Irish Rose,Chancellor Chauncey Olcott 1899,"[3, 11, 27]"
No Other Love,Paul Weston,[30]
Oh Babe,Hurricane Smith,"[60, 83]"
On An Evening In Roma,"Alessandro Taccani, Nan Frederics",[27]
"On The Atchison, Topeka And The Santa Fe",Harry Warren,"[5, 15, 33]"
On The Banks Of The Wabash,Paul Dresser,[10]
On The Street Where You Live,Frederick Lowe,[16]
Orange Colored Sky,"Milton Delugg, Willie Stein",[37]
P. S. I Love You,Gordon Jenkins,"[23, 39]"
Pal Of My Cradle Days,Al Piantadosi,"[2, 4, 8, 14, 15, 18, 20]"
Paradise,Nacio Herb Brown,[27]
Pieces Of Dreams (Little Boy Lost),Michel Legrand,[29]
Please Don't Talk About Me When I'm Gone,Bee Palmer,"[4, 6, 12, 24, 28]"
Polka Dots and Moonbeams,Jimmy Van Husen,"[2, 8, 16, 32]"
Poor Butterfly,Raymond Hubbell,"[6, 22]"
Pretend You Don't See her,Steve Allen,[23]
Rain,Eugene Ford,[16]
Rain ( When Ya Gonna Rain Again),Peter De Rose,"[6, 14, 24, 30]"
Ramona,Mabel Wayne,[33]
Real Live Girl,Cy Coleman,[23]
Rock-A-Bye Your Baby (With A Dixie Melody),Jean Schwartz,"[9, 26]"
Royal Garden Blues,"Clarence Williams, Spencer Williams","[5, 6, 7, 17, 18, 19]"
Ruby,Heinz Roemheld,"[1, 10, 11, 14, 18, 24, 33, 34]"
S-H-I-N-E,Ford Dabney,[30]
Sally,"Will E. Haines, Harry Leon and Leo Towers","[6, 14]"
San Francisco,"Brian Kaper, Walter Jurman",[18]
School Days,Gus Edwards,"[2, 6, 18, 32]"
Scotch and Soda,Dave Guard,[10]
Seems Like Old Times,John Jacob Loeb,"[10, 18, 20, 29, 34, 36, 45]"
Shine,"C. Mack, L. Brown, F. Dabney",[30]
Skylark,Hoagy Carmichael,[16]
Sleepy Time Gal,"Ange Lorenzo, Raymond B. Egan",[16]
Smiles,Lee J. Roberts,[21]
Some Enchanted Evening,Richard Rodgers,"[6, 16, 30]"
"Someday I'll find you (from ""Private Lives""",Noël Coward,"[2, 4, 18]"
Something Wonderful,Richard Rodgers,"[1, 3, 9, 11, 25, 27, 37]"
St. Louis Blues,W. C. Handy,"[19, 31]"
Stardust,Hoagy Carmichael,"[10, 20, 26, 30]"
Straighten Up And Fly Right,Irving Mills,[41]
Struttin' With Some Barbecue,"Louis Armstrong, Lillian Nobles","[2, 3, 6, 10, 18, 19]"
Sugar,George W. Meyer,"[3, 6, 11, 27]"
Sugar Blues,Clarence Williams,[30]
Sugar Moon,Danny Wolfe,"[15, 31]"
Sunday,"Ned Miller, Chester Cohn, Jule Styne, Bennie Krueger",[6]
Take Love Easy,Duke Ellington,[24]
Temptation,Nacio Herb Brown,[24]
Tenderly,Walter Grosse,[30]
Thank Heaven For Little Girls,Frederick Lowe,"[15, 19, 41]"
Thanks For The Memory,Leo Robin,"[24, 32]"
The Anniversary Song,Josef Ivanovici,"[14, 30]"
The Bare Necessities,Terry Gilkyson,[9]
The Birth Of The Blues,Ray Henderson,"[3, 11, 27]"
The Desert Song (Blue Heaven),Sigmund Romberg,[24]
The Hard Way,Jimmy van Heusen,"[1, 3, 8, 11, 13, 18, 21, 29, 31, 36, 38]"
The Jazz-Me Blues,Tom Delaney,"[7, 15]"
The Prisoner's Song,Traditional adapted by Vernon Dalhart,[7]
The Sidewalks Of New York,James W. Blake,"[52, 64]"
The Way We Were,Marvin Hamlisch,[22]
There Are Such Things,"Abel Baer, George W. Meyer, Stanley Adams","[3, 5, 7, 19, 21]"
There Goes My Heart,Abner Silver,"[3, 19]"
There Is No Christmas Like A Home Christmas,Mickey J. Addy,"[18, 19, 22]"
There! I've Said It Again,Redd Evans and Dave Mann,"[1, 3, 9, 11, 20, 25, 27]"
These Foolish Things,"Jack Strachey, Harry Link",[32]
Three O'Clock In The Morning,Julian Robledo,[23]
Tiger Rag,Original Dixieland Jazz Band,[30]
Till Then,"Eddie Seiler, Guy Wood, Sol Marcus","[3, 5, 11, 13]"
Till We Meet Again,Richard A. Whiting,[17]
Too Darn Hot,Cole Porter,"[23, 27]"
Too Marvelous For Words,Richard A Whiting,"[21, 22, 23, 31]"
Too-ra-loo-ra-loo-ral,J. R. Shannon,"[16, 24]"
Wait Till You See Her,Richard Rodgers,[17]
Way Down Yonder In New Orleans,Turner Layton,"[7, 15]"
We Three Kings of Orient Are,John Henry Hopkins,[14]
Welcome To My World,John Hathcock,[34]
What A Diff'rence A Day Made,Maria Grever,"[7, 23]"
What Can I Say After I Say I'm Sorry,Abe Lyman,[34]
What is There to Say,Vernon Duke,"[12, 32, 36]"
When I Dream Of Old Erin,Leo Friedman,"[2, 6]"
When the Wind Was Green,Don Hunt,[35]
When You Wish Upon A Star,Ned Washington,"[1, 9, 25, 32]"
When You're Smiling,Larry Shay,[15]
When Your Old Wedding Ring Was New,Charles McCarthy,"[3, 7, 19, 23]"
Whispering,"John Schonberger, Richard Coburn, Vincent Rose","[23, 32, 39, 48]"
Why Try To Change Me Now,Cy Coleman,"[4, 12, 28]"
Wild Is The Wind,Dimitri Tiomkin,"[6, 14, 37]"
Willow Weep For Me,Ann Ronell,"[6, 17]"
With Every Breath I Take,Ralph Rainger,[24]
Without A Song,Vincent Youmans,"[1, 9, 25, 33]"
You,Walter Donaldson,"[11, 12, 45, 46]"
You Belong To Me,"Pee Wee King, Redd Stewart, Chilton Price","[2, 8, 10, 21, 23]"
You Don't Know Me,Eddy Arnold,"[1, 9, 25, 33]"
You Don't Know What Love Is,"Don Raye, Gene DePaul","[3, 6, 11, 14, 16, 27, 30, 32]"
You Make Me Feel So Young,Josef Myrow,"[5, 35]"
You Took Advantage Of Me,Richard Rodgers,"[7, 15, 31]"
You'll Never Walk Alone,Richard Rodgers,"[27, 30, 34]"
You're a Hit,Les Kettley,[27]
You're Driving Me Crazy,Walter Donaldson,"[24, 32]"
You're My Everything,Harry Warren,[27]
You're The Top,Cole Porter,"[16, 32]"
Young And Foolish,Albert Hague,"[10, 26, 29]"
Zing! Went The Strings Of My Heart,James F. Hanley,"[17, 27]"
